scope,district_number,seats,fractional_seats,floor_override,bonus_seats,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
Dhaka,3,7,7.089886,f,0,2152854,2152854,0.766195,1,t,Kamrangir Char; Keraniganj; Lalbagh; New Market,065c4570-c98d-4257-9232-e2b587a6fc71,7ba0b3db-acfe-4c6b-bb25-0d73a4a4a988
Dhaka,4,6,6.057492,f,0,1839366,1839366,0.754936,1,t,Badda; Biman Bandar; Dakshinkhan; Gulshan; Khilkhet; Tejgaon Ind. Area; Uttar Khan; Uttara,fca91cde-0ca7-4b15-8a9f-de34f0d3632e,7ba0b3db-acfe-4c6b-bb25-0d73a4a4a988
Dhaka,4,6,5.747934,f,0,1722790,1722790,0.755023,1,t,Munshiganj,221696b1-3779-4b75-b49c-849d8c5b6c05,532d1ba8-7a54-451b-b7e0-fd8700db33c5
Dhaka,5,9,8.570557,f,0,2568796,2568796,0.417778,14,f,Rajbari; Shariatpur,d7eed0d7-30f0-494c-9084-40becb77feb9,532d1ba8-7a54-451b-b7e0-fd8700db33c5
Dhaka,5,6,5.900325,f,0,1791642,1791642,0.845844,1,t,Dohar; Nawabganj,f30b5745-7e3a-4999-94f5-94631b12cd33,7ba0b3db-acfe-4c6b-bb25-0d73a4a4a988
Dhaka,6,5,5.238574,f,0,1570123,1570123,0.768459,1,t,Manikganj,c9ea28b0-2dc6-4aae-9ecf-8d9b5e0a5348,532d1ba8-7a54-451b-b7e0-fd8700db33c5
Dhaka,6,5,5.081425,f,0,1542982,1542982,0.806627,1,t,Dhamrai,f8b2919e-b67e-4f89-80c0-065ad122ff6c,7ba0b3db-acfe-4c6b-bb25-0d73a4a4a988
Dinajpur,1,6,5.959370,f,0,1914837,1914837,0.775446,1,t,Birampur; Chirirbandar; Fulbari; Ghoraghat; Hakimpur; Khansama; Nawabganj; Parbatipur,534b4d93-cd55-4639-9861-c40f5c67d62f,160654ec-92d5-49f1-b3cc-f16d32ba0161
Dinajpur,2,5,5.040630,f,0,1619632,1619632,0.851813,1,t,Biral; Birganj; Bochaganj; Dinajpur Sadar; Kaharole,73d8038c-f9ca-4cc5-88bb-22c5ff4b33a8,160654ec-92d5-49f1-b3cc-f16d32ba0161
Gazipur,1,5,5.156057,f,0,1532646,1532646,0.507117,2,f,Kaliakair; Kapasia,23127721-8f04-4d3f-a24c-a364d97f15cf,eb6aede4-e646-4bde-8cd6-911bbbcb8243
