scope,district_number,seats,fractional_seats,floor_override,bonus_seats,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
Lower Mainland--Southwest / L*,3,6,6.151602,f,0,707427,707427,0.759443,5,t,Anmore; Barnston Island 3; Belcarra; Burnaby; Burrard Inlet 3; Capilano 5; Coquitlam; Greater Vancouver A; Katzie 1; Lions Bay; Mission 1; North Vancouver; North Vancouver; Pitt Meadows; Port Moody; Seymour Creek 2; West Vancouver,8440cac8-ed8a-434f-ab85-cdf32d9f0c9f,f90fc967-e20c-44a8-b9ca-a000ef9a427f
Lower Mainland--Southwest / L*,4,6,5.830868,f,0,670543,670543,0.765389,24,t,Abbotsford; Aitchelitch 9; Albert Flat 5; Boothroyd 13; Boston Bar 1A; Bowen Island; Bridge River 1; Bucktum 4; Cayoosh Creek 1; Chawathil 4; Cheakamus 11; Cheam 1; Chehalis 5; Chekwelp 26; Chilhil 6; Chilliwack; Douglas 8; Fountain  1; Fountain  3; Fountain 10; Fountain 11; Fountain 12; Fountain 1B; Fountain Creek 8; Fraser Valley A; Fraser Valley B; Fraser Valley C; Fraser Valley D; Fraser Valley E; Fraser Valley F; Fraser Valley G; Fraser Valley H; Gibsons; Harrison Hot Springs; Holachten 8; Hope; Inkahtsaph 6; Kahmoose 4; Katzie 2; Kent; Kopchitchin 2; Kowtain 17; Kwawkwawapilt 6; Lakahahmen 11; Langley; Langley 5; Lillooet; Lillooet 1; Lukseetsissum 9; Maple Ridge; Matsqui 4; Matsqui Main 2; McCartney's Flat 4; McMillan Island 6; Mission; Mission 5; Mount Currie; Necait 6; Nequatque; Nesikep 6; Nesuch 3; Ohamil 1; Paqulh; Pashilqua 2; Pavilion 1; Pemberton; Peters 1; Popkum 1; Puckatholetchin 11; Q'alatkú7em; Sachteen; Saddle Rock 9; Schelowat 1; Schkam 2; Scowlitz 1; Seabird Island; Seaichem 16; Sechelt; Sechelt (Part); Seton Lake 5; Skawahlook 1; Skookumchuck 4; Skowkale; Skwah 4; Skwahla 2; Skwali 3; Skway 5; Skweahm 10; Slosh 1; Soowahlie 14; Speyum 3; Spuzzum 1; Squamish; Squamish-Lillooet A; Squamish-Lillooet B; Squamish-Lillooet C; Squamish-Lillooet D; Squawkum Creek 3; Squiaala; Stawamus 24; Stullawheets 8; Sunshine Coast A; Sunshine Coast B; Sunshine Coast D; Sunshine Coast E; Sunshine Coast F; Tipella 7; Towinock 2; Tseatah 2; Tuckkwiowhum 1; Tzeachten 13; Upper Sumas 6; Waiwakum 14; Whistler; Whonnock 1; Yakweakwioose 12; Yale Town 1; Yekwaupsum 18,f3d805fd-340a-4d72-8dc8-758b842faac9,f90fc967-e20c-44a8-b9ca-a000ef9a427f
Manitoba,1,5,4.801075,f,0,567023,567023,0.835959,5,t,Interlake; North / Nord; Parklands; South Central / Centre sud; Southeast / Sud-est; Southwest / Sud-ouest,b8d32144-6192-46aa-9e5d-2a6bf1c59975,99f1d663-f147-449b-82ce-d782a4d2dcf3
Manitoba,2,7,7.198925,f,0,850217,850217,0.758426,1,t,North Central / Centre nord; Winnipeg,50722ba4-ad2a-4b06-aff3-ed16bccc5734,99f1d663-f147-449b-82ce-d782a4d2dcf3
Montréal,1,8,8.000374,f,0,930613,930613,0.785922,5,f,sub:Montréal — drawn district 1 (pop 930613),9bd2bedf-a303-426f-bff8-26e18df4a693,3388499d-63a3-4b70-9af8-7bfb0dda028f
Montréal,1,2,2.000000,t,0,255486,255486,0.314490,6,f,Baie-D'Urfé; Beaconsfield; Côte-Saint-Luc; Dollard-Des Ormeaux; Dorval; Hampstead; Kirkland; L'Île-Dorval; Mont-Royal; Montréal-Est; Montréal-Ouest; Pointe-Claire; Sainte-Anne-de-Bellevue; Senneville; Westmount,a13929ca-9605-41e4-91f1-dbee96c593ec,7350c441-108c-4725-9d40-1e48fa746b1f
Montréal,2,8,7.999626,f,0,930526,930526,0.582135,6,f,sub:Montréal — drawn district 2 (pop 930526),b2c9cada-bbfb-4eec-be85-b0ad8e21946a,3388499d-63a3-4b70-9af8-7bfb0dda028f
Montérégie,1,8,7.946776,f,0,890690,890690,0.659615,42,f,Akwesasne; Beauharnois; Brossard; Candiac; Châteauguay; Coteau-du-Lac; Delson; Dundee; Elgin; Franklin; Godmanchester; Havelock; Hemmingford; Hemmingford; Hinchinbrooke; Howick; Hudson; Huntingdon; Kahnawake; L'Île-Cadieux; L'Île-Perrot; La Prairie; Lacolle; Les Coteaux; Les Cèdres; Longueuil; Léry; Mercier; Napierville; Notre-Dame-de-l'Île-Perrot; Ormstown; Pincourt; Pointe-Fortune; Pointe-des-Cascades; Rigaud; Rivière-Beaudette; Saint-Anicet; Saint-Bernard-de-Lacolle; Saint-Chrysostome; Saint-Clet; Saint-Constant; Saint-Cyprien-de-Napierville; Saint-Isidore; Saint-Jacques-le-Mineur; Saint-Lambert; Saint-Lazare; Saint-Louis-de-Gonzague; Saint-Mathieu; Saint-Michel; Saint-Patrice-de-Sherrington; Saint-Paul-de-l'Île-aux-Noix; Saint-Philippe; Saint-Polycarpe; Saint-Rémi; Saint-Stanislas-de-Kostka; Saint-Télesphore; Saint-Urbain-Premier; Saint-Valentin; Saint-Zotique; Saint-Édouard; Saint-Étienne-de-Beauharnois; Sainte-Barbe; Sainte-Catherine; Sainte-Clotilde; Sainte-Justine-de-Newton; Sainte-Marthe; Sainte-Martine; Salaberry-de-Valleyfield; Terrasse-Vaudreuil; Très-Saint-Rédempteur; Très-Saint-Sacrement; Vaudreuil-Dorion; Vaudreuil-sur-le-Lac,81169c35-9bad-4515-9edd-cc7459def72f,515c4a68-6769-436e-8692-621f1ac3fe18
Montérégie,2,7,7.053224,f,0,790539,790539,0.855990,27,t,Abercorn; Acton Vale; Ange-Gardien; Bedford; Bedford; Beloeil; Bolton-Ouest; Boucherville; Brigham; Brome; Bromont; Béthanie; Calixa-Lavallée; Carignan; Chambly; Contrecoeur; Cowansville; Dunham; East Farnham; Farnham; Frelighsburg; Granby; Henryville; La Présentation; Lac-Brome; Marieville; Massueville; McMasterville; Mont-Saint-Grégoire; Mont-Saint-Hilaire; Notre-Dame-de-Stanbridge; Noyan; Otterburn Park; Pike River; Richelieu; Rougemont; Roxton; Roxton Falls; Roxton Pond; Saint-Aimé; Saint-Alexandre; Saint-Alphonse-de-Granby; Saint-Amable; Saint-Antoine-sur-Richelieu; Saint-Armand; Saint-Barnabé-Sud; Saint-Basile-le-Grand; Saint-Bernard-de-Michaudville; Saint-Blaise-sur-Richelieu; Saint-Bruno-de-Montarville; Saint-Charles-sur-Richelieu; Saint-Césaire; Saint-Damase; Saint-David; Saint-Denis-sur-Richelieu; Saint-Dominique; Saint-Georges-de-Clarenceville; Saint-Gérard-Majella; Saint-Hugues; Saint-Hyacinthe; Saint-Ignace-de-Stanbridge; Saint-Jean-Baptiste; Saint-Jean-sur-Richelieu; Saint-Joachim-de-Shefford; Saint-Joseph-de-Sorel; Saint-Jude; Saint-Liboire; Saint-Louis; Saint-Marc-sur-Richelieu; Saint-Marcel-de-Richelieu; Saint-Mathias-sur-Richelieu; Saint-Mathieu-de-Beloeil; Saint-Nazaire-d'Acton; Saint-Ours; Saint-Paul-d'Abbotsford; Saint-Pie; Saint-Robert; Saint-Roch-de-Richelieu; Saint-Simon; Saint-Sébastien; Saint-Théodore-d'Acton; Saint-Valérien-de-Milton; Sainte-Angèle-de-Monnoir; Sainte-Anne-de-Sabrevois; Sainte-Anne-de-Sorel; Sainte-Brigide-d'Iberville; Sainte-Christine; Sainte-Cécile-de-Milton; Sainte-Hélène-de-Bagot; Sainte-Julie; Sainte-Madeleine; Sainte-Marie-Madeleine; Sainte-Sabine; Sainte-Victoire-de-Sorel; Shefford; Sorel-Tracy; Stanbridge East; Stanbridge Station; Sutton; Upton; Varennes; Venise-en-Québec; Verchères; Warden; Waterloo; Yamaska,c592de7f-0a4b-4239-abd8-fde89d8ec270,515c4a68-6769-436e-8692-621f1ac3fe18
Ontario,1,9,9.216046,f,0,1092291,1092291,0.676867,25,t,London; Stratford--Bruce Peninsula,e22984c4-92ab-491c-8fda-68ad7d0215bf,f96282de-b187-4a54-99cd-3555db16204a
