scope,district_number,seats,fractional_seats,floor_override,bonus_seats,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
Región Metropolitana de Santiago,2,7,7.376739,f,0,541785,541785,0.749778,1,t,Provincia de Melipilla; Provincia de Talagante,7e238bde-ae2e-487b-9aae-f1997ae0086a,2ce1c577-db82-4ae2-92e1-2a02313e6390
Región Metropolitana de Santiago,3,4,4.063732,t,0,298461,298461,0.860283,1,t,Provincia de Chacabuco,704cfe7f-1611-4600-880e-9f48c32a6d28,2ce1c577-db82-4ae2-92e1-2a02313e6390
Región de Coquimbo,1,8,7.858372,f,0,553141,553141,0.711187,1,t,Provincia de Elqui,632c5fc8-2f2d-443d-ae2c-d70af7fb3379,2081a3c9-90c9-4082-994b-d266ae3aa0ac
Región de Coquimbo,2,4,4.141628,t,0,291524,291524,0.788157,1,t,Provincia de Choapa; Provincia de Limarí,3340d429-4314-460c-b1ee-460aff618690,2081a3c9-90c9-4082-994b-d266ae3aa0ac
Región de La Araucanía,1,3,3.000000,t,0,228863,228863,0.649499,1,t,Provincia de Malleco,df7c05f2-8875-4b89-983a-5fe580e74fcb,cf57648a-31a6-45fb-807b-86ceafe7028d
Región de Los Lagos,1,7,6.688643,f,0,475474,475474,0.588134,25,t,Provincia de Llanquihue; Provincia de Palena,d3e94b97-2df5-426e-b155-eb51d9bcd9d8,e248d517-41e6-4974-b93b-1e94fb8ddb44
Región de Los Lagos,2,6,6.311357,f,0,448654,448654,0.391326,30,f,Provincia de Chiloé; Provincia de Osorno,a05488e0-46fa-4e68-a2b4-c833ae04d7ee,e248d517-41e6-4974-b93b-1e94fb8ddb44
Región de Valparaíso,1,8,8.216648,f,0,610024,610024,0.827793,1,t,Provincia de Los Andes; Provincia de Petorca; Provincia de Quillota; Provincia de San Felipe de Aconcagua,d825fd35-0470-4ecf-849e-c060f34504e7,96e5b014-9713-47c5-aab7-ae3862fa3ad8
Región de Valparaíso,2,8,7.783352,f,0,577855,577855,0.011457,3,t,Easter Island Province; Provincia de Marga Marga; Provincia de San Antonio,43b6229a-baeb-422b-b518-d1e557eef5dc,96e5b014-9713-47c5-aab7-ae3862fa3ad8
Región del Bío-Bío,1,9,9.000000,f,0,625687,625687,0.553402,2,t,Provincia de Arauco; Provincia de Bío-Bío,0d6d7174-93ae-40af-8451-c314076b9fc1,84f4605c-87aa-4cfb-8374-0ed315e56e67
Región del Libertador Bernardo O'Higgins,1,4,4.000000,t,0,299279,299279,0.676704,1,t,Provincia de Cardenal Caro; Provincia de Colchagua,f749f29a-4b53-4862-9fd0-c634683c93bd,f8f129d2-3a03-4696-b34c-4bebf18c853c
Región del Maule,1,9,8.809894,f,0,641934,641934,0.618698,2,f,Provincia de Curicó; Provincia de Linares,2f34dd52-4413-479d-b057-8d8aa4503499,e4eef3ac-5525-44cf-9091-df8577fdcb76
Región del Maule,2,7,7.190106,f,0,523908,523908,0.555719,1,t,Provincia de Cauquenes; Provincia de Talca,af66938f-9ce2-4b0c-ad7c-51f2629094a4,e4eef3ac-5525-44cf-9091-df8577fdcb76
