scope,district_number,seats,fractional_seats,floor_override,bonus_seats,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
Bihār,3,8,8.087320,f,0,32881045,32881045,0.597310,1,t,Gopalganj; Madhubani; Pashchim Champaran; Purba Champaran; Saran; Sheohar; Sitamarhi; Siwan,0e2e427c-c0a6-4d43-9543-a9a1fe4420fe,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,4,8,7.993634,f,0,32500141,32500141,0.732632,1,t,Araria; Banka; Bhagalpur; Katihar; Khagaria; Kishanganj; Madhepura; Purnia; Saharsa; Supaul,da306aa3-d3a2-4050-a089-30eac46baf72,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Brazil,1,7,7.261448,f,0,29268060,29268060,0.710298,1,t,Alagoas; Bahia; Pernambuco; Sergipe,600ad15a-5937-49c9-a398-91788cd9b7b3,8865c0ea-20a4-4836-bd0b-aef668dcf660
Brazil,2,8,7.788997,f,0,31394405,31394405,0.818062,6,t,Bombinhas; Parana; Rio Grande do Sul; Santa Catarina,6ca42862-2460-4743-b4e2-ae98c3059905,8865c0ea-20a4-4836-bd0b-aef668dcf660
Brazil,3,8,7.893293,f,0,31814782,31814782,0.844234,1,t,Distrito Federal; Goias; Minas Gerais,57497cb8-b606-4236-b0de-bd265ea323c2,8865c0ea-20a4-4836-bd0b-aef668dcf660
Brazil,4,6,5.797925,f,0,23369172,23369172,0.746679,1,t,Acre; Amapa; Amazonas; Mato Grosso; Mato Grosso do Sul; Para; Rondonia; Roraima,20aff9d7-3fd7-4e99-9635-a1e9c9edf61a,8865c0ea-20a4-4836-bd0b-aef668dcf660
Brazil,5,5,5.093217,f,0,20528767,20528767,0.572324,1,t,Espirito Santo; Rio de Jeneiro,49304953-01d2-49e8-92f7-769a36c7a922,8865c0ea-20a4-4836-bd0b-aef668dcf660
Brazil,6,7,7.165119,f,0,28879797,28879797,0.693378,4,t,Ceara; Fernando de Noronha; Maranhao; Paraiba; Piaui; Raposa; Rio Granda do Norte; Tocantins,1aec1d9f-32ad-429f-b44f-4d82c58e74e4,8865c0ea-20a4-4836-bd0b-aef668dcf660
California,1,5,5.100478,f,0,20055315,20055315,0.780342,9,t,Alameda; Alpine; Amador; Butte; Calaveras; Colusa; Contra Costa; Del Norte; El Dorado; Fresno; Glenn; Humboldt; Kern; Kings; Lake; Lassen; Madera; Marin; Mariposa; Mendocino; Merced; Modoc; Mono; Monterey; Napa; Nevada; Placer; Plumas; Sacramento; San Benito; San Francisco; San Joaquin; San Luis Obispo; San Mateo; Santa Barbara; Santa Clara; Santa Cruz; Shasta; Sierra; Siskiyou; Solano; Sonoma; Stanislaus; Sutter; Tehama; Trinity; Tulare; Tuolumne; Ventura; Yolo; Yuba,3eb1c962-1a98-46d3-961b-b7d029b4b65d,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,2,6,5.899522,f,0,23197194,23197194,0.770039,3,t,Imperial; Inyo; Los Angeles; Orange; Riverside; San Bernardino; San Diego,19327a8f-f832-4fb8-8320-3735935c125a,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
Canada,1,5,4.997822,f,0,19521079,19521079,0.424417,292,f,Alberta; Ontario,cfaaad3b-70a2-43a9-9169-f6a7deaad318,70f5b9f3-48b5-4be7-8045-f62fb883343b
Canada,2,5,5.002178,f,0,19538096,19538096,0.540181,6567,t,British Columbia; Manitoba; New Brunswick; Newfoundland and Labrador; Northwest Territories; Nova Scotia; Nunavut; Prince Edward Island; Quebec; Saskatchewan; Yukon,05ec1745-8325-4b1f-b27c-d36a720f0598,70f5b9f3-48b5-4be7-8045-f62fb883343b
China,1,9,8.516396,f,0,35108852,35108852,0.876887,1,t,Shanxi Province,c2028e31-4791-4e11-b4e9-28a4d667fac4,9cc5635f-f158-49c5-be62-9f0328ba2d66
China,2,8,7.611727,f,0,31379351,31379351,0.640318,1,t,Heilongjiang Province,74d36a6d-e1d2-4bae-8b6b-0cbaa502cf8f,9cc5635f-f158-49c5-be62-9f0328ba2d66
China,3,6,6.111788,f,0,25195853,25195853,0.529652,1,t,Gansu Province,7f9a1887-c982-4380-a039-a565a9fdacda,9cc5635f-f158-49c5-be62-9f0328ba2d66
China,4,6,6.386459,f,0,26328184,26328184,0.829542,1,t,Xinjiang Uyghur Autonomous Region,4c64056d-0c96-4c02-a969-962e18ef133b,9cc5635f-f158-49c5-be62-9f0328ba2d66
China,5,6,5.903425,f,0,24336876,24336876,0.744867,1,t,Jilin Province,60477e3a-a147-4ac9-bb21-6c6ed83f6e78,9cc5635f-f158-49c5-be62-9f0328ba2d66
