scope,district_number,seats,fractional_seats,floor_override,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
Afghanistan,1,5,5.078964,f,20928541,20928541,0.868432,1,t,Badghis; Balkh; Bamyan; Daykundi; Farah; Faryab; Ghanzi; Ghor; Helmand; Herat; Jowzjan; Kandahar; Nimruz; Paktika; Samangan; Sar-e Pol; Uruzgan; Wardak; Zabul,4df29fd4-9791-41c0-80ca-025caa9ecf1a,8a4860cf-4340-4464-8570-2130fde10320
Afghanistan,2,5,4.921036,t,20277778,20277778,0.637691,1,t,Badakhshan; Baghlan; Kabul; Kapisa; Khost; Kunar; Kunduz; Laghman; Logar; Nangarhar; Nuristan; Paktia; Panjshir; Parwan; Takhar,d710a853-b83e-41ef-a6e5-94fc558409ae,8a4860cf-4340-4464-8570-2130fde10320
Algeria,1,6,5.896389,f,24567551,24567551,0.825415,1,t,Adrar; Annaba; Batna; Bejaia; Biskra; Bordj Bou Arreridj‎; Bouira; Constantine; Djelfa; El Oued; El Tarf; Ghardaia; Guelma; Illizi; Jijel; Khenchela; Laghouat; M'Sila; Mila; Ouargla; Oum El Bouaghi; Skikda; Souk Ahras; Sétif; Tamanrasset; Tizi Ouzou; Tébessa,e49ac28d-bd3d-4540-a1fd-85a7702b89cf,b62fde8a-57bb-46f1-9908-38c673073243
Algeria,2,5,5.103611,f,21264409,21264409,0.711396,1,t,Algiers; Aïn Defla; Aïn Témouchent; Blida; Boumerdès; Béchar; Chlef; El Bayadh; Mascara; Mostaganem; Médéa; Naâma; Oran; Relizane; Saïda; Sidi Bel Abbès; Tiaret; Tindouf; Tipaza; Tissemsilt; Tlemcen,84ccd395-bdc7-42f3-af2a-45b58bc09fc7,b62fde8a-57bb-46f1-9908-38c673073243
Andhra Pradesh,1,7,7.108709,f,28091745,28091745,0.747849,1,t,Anantapur; Chittoor; Guntur; Kadapa(YSR); Kurnool; Prakasam; Sri Potti Sriramulu Nellore,75c07769-8c23-48d8-836e-b2a1d5746b43,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Andhra Pradesh,2,6,5.891291,f,23280831,23280831,0.669686,2,t,East Godavari; Krishna; Srikakulam; Visakhapatnam; Vizianagaram; West Godavari; Yanam,53ebc4b2-f11d-4592-adf0-0315030fd52f,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Anhui Province,1,8,7.851123,f,31600273,31600273,0.773674,1,t,Anqingshi; Chaohushi; Chaohushi; Chuzhoushi; Dangtuxian; Dongzhixian; Fanchangxian; Feidongxian; Feixixian; Gaochunxian; Guangdexian; Guichishi; Hanshanxian; Hefeishi; Hexian; Huainingxian; Huangshanshi; Huangshanshi; Huoshanxian; Jiangpuxian; Jingdexian; Jingxian; Jinzaixian; Jixixian; Laianxian; Langxixian; Liuanshi; Lujiangxian; Maanshanshi; Nanlingxian; Ningguoshi; Qianshanxian; Qimenxian; Qingyangxian; Quanjiaoxian; Shexian; Shitaixian; Shuchengxian; Susongxian; Taihuxian; Tianchangshi; Tongchengxian; Tonglingshi; Tonglingxian; Wangjiangxian; Wuhushi; Wuhuxian; Wuweixian; Xiuningxian; Xuanzhoushi; Yixian; Yuexixian; Zongyangxian,ab8043f1-fee3-4a35-8fce-17f3d427b407,9f1fe628-cae6-4bdd-aec0-e138a7c71b39
Anhui Province,2,7,7.148877,f,28773781,28773781,0.816737,1,t,Bangbushi; Bozhoushi; Changfengxian; Dafengshi; Dingyuanxian; Fengtaixian; Fengyangxian; Funanxian; Fuyangshi; Fuyangshi; Guzhenxian; Huaibeishi; Huainanshi; Huaiyuanxian; Huoqiuxian; Jiashanxian; Jieshoushi; Lingbixian; Lixingxian; Mengchengxian; Shouxian; Shuzhoushi; Suixixian; Suzhoushi; Taihexian; Woyangxian; Wuhexian; Xiaoxian; Yingshangxian,ef9d06f2-a328-48b1-a171-58541a09e90c,9f1fe628-cae6-4bdd-aec0-e138a7c71b39
Argentina,1,5,5.078434,f,21209758,21209758,0.529142,3,t,Buenos Aires; Chubut; Ciudad Autónoma de Buenos Aires; La Pampa; Neuquén; Río Negro; Santa Cruz; Tierra del Fuego,b88383ae-4625-4be1-8dde-b4392528633a,2aa6ea56-4ac8-42c7-8ce8-bf0b10247be3
Argentina,2,5,4.921566,t,20554610,20554610,0.819063,1,t,Catamarca; Chaco; Corrientes; Córdoba; Formosa; Jujuy; La Roja; Mendoza; Misiones; Salta; San Juan; San Luis; Santa Fe; Santiago del Estero; Tucumán,e77d4d01-dd1b-4f55-b510-63128224699d,2aa6ea56-4ac8-42c7-8ce8-bf0b10247be3
Bangladesh,1,8,7.996307,f,32441261,32441261,0.573110,9,t,Chittagong,f2e5c660-a91a-4d2b-bab0-a9304c3baf3b,012617d0-cb99-4ad5-9623-d1279d3b7170
Bangladesh,2,7,7.291345,f,29581209,29581209,0.492731,3,f,Rangpur; Sylhet,ca104df4-7715-4ed4-8419-29d462ddc715,012617d0-cb99-4ad5-9623-d1279d3b7170
Bangladesh,3,7,6.501306,f,26375997,26375997,0.754155,9,t,Barisal; Khulna,b0f64e98-57e7-4aa8-a8d7-178794352e80,012617d0-cb99-4ad5-9623-d1279d3b7170
