scope,district_number,seats,fractional_seats,floor_override,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
Alabama,1,5,4.998766,t,2374557,2374557,0.825039,4,t,Autauga; Baldwin; Barbour; Bibb; Bullock; Butler; Chambers; Chilton; Choctaw; Clarke; Coffee; Conecuh; Coosa; Covington; Crenshaw; Dale; Dallas; Elmore; Escambia; Geneva; Greene; Hale; Henry; Houston; Lee; Lowndes; Macon; Marengo; Mobile; Monroe; Montgomery; Perry; Pike; Russell; Shelby; Sumter; Tallapoosa; Tuscaloosa; Washington; Wilcox,b8f24fa0-1f7e-4552-9ef8-f7d19ea64f75,407ef8b2-ad56-46a1-bdaa-e5ce80b3740e
Alabama,2,5,5.001234,f,2375729,2375729,0.863614,1,t,Blount; Calhoun; Cherokee; Clay; Cleburne; Colbert; Cullman; DeKalb; Etowah; Fayette; Franklin; Jackson; Jefferson; Lamar; Lauderdale; Lawrence; Limestone; Madison; Marion; Marshall; Morgan; Pickens; Randolph; St. Clair; Talladega; Walker; Winston,e3ea3a47-fdb0-4fd8-a0b3-7f8eb8f632fd,407ef8b2-ad56-46a1-bdaa-e5ce80b3740e
Arizona,1,7,7.000000,f,3370933,3370933,0.885440,1,t,Apache; Cochise; Coconino; Gila; Graham; Greenlee; La Paz; Mohave; Navajo; Pima; Pinal; Santa Cruz; Yavapai; Yuma,b2ae5463-97ac-4014-82a8-2d1d2177237f,cc9f21e4-618a-448e-8c85-1fc00cf5aa4a
California,1,7,7.013055,f,3448456,3448456,0.677719,1,t,Alpine; Amador; Calaveras; Contra Costa; El Dorado; Mariposa; Mono; Sacramento; Tuolumne,2de7a314-0973-4d4f-8429-b85df0c2a1e1,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,2,7,7.058535,f,3470819,3470819,0.922732,2,t,Butte; Colusa; Del Norte; Glenn; Humboldt; Lake; Lassen; Marin; Mendocino; Modoc; Napa; Nevada; Placer; Plumas; Shasta; Sierra; Siskiyou; Solano; Sonoma; Sutter; Tehama; Trinity; Yolo; Yuba,28f81ea8-f370-4f9b-9e78-7ede7f53d65d,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,3,6,5.827377,f,2865435,2865435,0.791613,1,t,Imperial; Riverside,0427916f-4bda-4bcd-87b4-def066989b91,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,4,7,7.353274,f,3615748,3615748,0.898222,1,t,San Diego,ad3ebf86-819c-4162-a2f2-d60fd525311b,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,5,7,7.105065,f,3493699,3493699,0.916053,1,t,Orange,fc50f673-8b92-44ba-9786-af543cdf55bf,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,6,7,6.978641,f,3431534,3431534,0.763802,1,t,Inyo; Kern; San Bernardino,5dd838f2-4dbe-458d-9bb6-f1f738a8a539,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,7,7,7.117096,f,3499615,3499615,0.549183,7,t,Fresno; Kings; San Luis Obispo; Santa Barbara; Tulare; Ventura,8774317b-afc0-4813-a17f-c231e20f65db,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,8,6,5.711889,f,2808647,2808647,0.575695,1,t,Madera; Merced; Monterey; San Benito; San Joaquin; Santa Cruz; Stanislaus,b446e522-d90f-4d5e-8046-db1d3b9dc5eb,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,9,6,6.064777,f,2982169,2982169,0.675500,1,t,San Mateo; Santa Clara,d4656631-277b-4b83-ad3e-416e0f6a101c,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,10,6,5.770290,f,2837364,2837364,0.629657,3,t,Alameda; San Francisco,39a456e7-3a83-4f41-9236-7a609a55c3e4,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
Colorado,1,6,6.050069,f,2970640,2970640,0.702769,2,t,Adams; Arapahoe; Boulder; Denver; Douglas; Jefferson,c18a972d-159a-483a-9d09-88ee24ea276d,5804c271-502a-4fe9-8d98-20588076ba96
Colorado,2,5,4.949931,t,2430462,2430462,0.954303,2,t,Alamosa; Archuleta; Baca; Bent; Broomfield; Chaffee; Cheyenne; Clear Creek; Conejos; Costilla; Crowley; Custer; Delta; Dolores; Eagle; El Paso; Elbert; Fremont; Garfield; Gilpin; Grand; Gunnison; Hinsdale; Huerfano; Jackson; Kiowa; Kit Carson; La Plata; Lake; Larimer; Las Animas; Lincoln; Logan; Mesa; Mineral; Moffat; Montezuma; Montrose; Morgan; Otero; Ouray; Park; Phillips; Pitkin; Prowers; Pueblo; Rio Blanco; Rio Grande; Routt; Saguache; San Juan; San Miguel; Sedgwick; Summit; Teller; Washington; Weld; Yuma,a0723953-9e5c-44e3-a60c-c0765ce4b0e2,5804c271-502a-4fe9-8d98-20588076ba96
Cook,1,6,5.963516,f,2982548,2982548,0.862219,1,t,sub:Cook — drawn district 1 (pop 2982548),b56dd3cd-69e1-4c2e-9c47-2f10ec81a94a,e90487eb-9e89-489c-98ba-bd1e4f72164f
Cook,2,5,5.036484,f,2518909,2518909,0.868872,1,t,sub:Cook — drawn district 2 (pop 2518909),17618897-c839-446a-ada0-b2b943431068,e90487eb-9e89-489c-98ba-bd1e4f72164f
Florida,1,9,9.010782,f,4463204,4463204,0.753968,1,t,Brevard; Indian River; Okeechobee; Orange; Osceola; Polk; Seminole,2abfaf17-729b-4a04-b382-9bc8fa1d563e,e291639e-ef3f-48a2-af2c-2384cd4aa184
Florida,2,8,7.769697,f,3848472,3848472,0.789453,2,t,Charlotte; DeSoto; Hardee; Hillsborough; Lee; Manatee; Sarasota,dc57acfa-1063-4a41-bd2c-2fa385873414,e291639e-ef3f-48a2-af2c-2384cd4aa184
Florida,3,8,8.487975,f,4204248,4204248,0.659828,2,t,Alachua; Baker; Bay; Bradford; Calhoun; Clay; Columbia; Dixie; Duval; Escambia; Franklin; Gadsden; Gilchrist; Gulf; Hamilton; Holmes; Jackson; Jefferson; Lafayette; Leon; Levy; Liberty; Madison; Nassau; Okaloosa; Santa Rosa; St. Johns; Suwannee; Taylor; Union; Wakulla; Walton; Washington,4eaf4fba-cabd-409d-acca-05ec2f070d03,e291639e-ef3f-48a2-af2c-2384cd4aa184
Florida,4,8,8.147775,f,4035741,4035741,0.701812,1,t,Citrus; Flagler; Hernando; Lake; Marion; Pasco; Pinellas; Putnam; Sumter; Volusia,a03a82f2-b8ba-4ce3-b20e-bd3907948972,e291639e-ef3f-48a2-af2c-2384cd4aa184
Florida,5,8,7.549719,f,3739513,3739513,0.393772,8,t,Collier; Glades; Hendry; Highlands; Miami-Dade; Monroe,a27cb559-4522-41a4-9979-5053cad8a5e9,e291639e-ef3f-48a2-af2c-2384cd4aa184
Florida,6,9,9.034050,f,4474729,4474729,0.952874,1,t,Broward; Martin; Palm Beach; St. Lucie,9ef0f052-c293-4a36-bf7f-112df66809b2,e291639e-ef3f-48a2-af2c-2384cd4aa184
Georgia,1,8,8.074996,f,3914540,3914540,0.896955,1,t,Appling; Atkinson; Bacon; Baker; Baldwin; Ben Hill; Berrien; Bibb; Bleckley; Brantley; Brooks; Bryan; Bulloch; Burke; Butts; Calhoun; Camden; Candler; Charlton; Chatham; Chattahoochee; Clay; Clinch; Coffee; Colquitt; Columbia; Cook; Crawford; Crisp; Decatur; Dodge; Dooly; Dougherty; Early; Echols; Effingham; Emanuel; Evans; Glascock; Glynn; Grady; Greene; Hancock; Harris; Henry; Houston; Irwin; Jasper; Jeff Davis; Jefferson; Jenkins; Johnson; Jones; Lamar; Lanier; Laurens; Lee; Liberty; Lincoln; Long; Lowndes; Macon; Marion; McDuffie; McIntosh; Meriwether; Miller; Mitchell; Monroe; Montgomery; Morgan; Muscogee; Newton; Oconee; Peach; Pierce; Pike; Pulaski; Putnam; Quitman; Randolph; Richmond; Schley; Screven; Seminole; Spalding; Stewart; Sumter; Talbot; Taliaferro; Tattnall; Taylor; Telfair; Terrell; Thomas; Tift; Toombs; Treutlen; Troup; Turner; Twiggs; Upson; Ware; Warren; Washington; Wayne; Webster; Wheeler; Wilcox; Wilkes; Wilkinson; Worth,2295a140-6f45-4c94-b103-860ba61695a4,e004b3ce-73e8-46f7-a575-89ca8edb148c
Georgia,2,8,7.909710,f,3834414,3834414,0.857944,1,t,Carroll; Clayton; Cobb; Coweta; DeKalb; Douglas; Fayette; Fulton; Haralson; Heard; Paulding,c3bed026-5e26-4de3-990a-06592d835a77,e004b3ce-73e8-46f7-a575-89ca8edb148c
Georgia,3,7,7.015294,f,3400825,3400825,0.796030,1,t,Banks; Barrow; Bartow; Catoosa; Chattooga; Cherokee; Clarke; Dade; Dawson; Elbert; Fannin; Floyd; Forsyth; Franklin; Gilmer; Gordon; Gwinnett; Habersham; Hall; Hart; Jackson; Lumpkin; Madison; Murray; Oglethorpe; Pickens; Polk; Rabun; Rockdale; Stephens; Towns; Union; Walker; Walton; White; Whitfield,100f3335-2054-4063-903e-6013142bed0a,e004b3ce-73e8-46f7-a575-89ca8edb148c
Harris,1,5,5.001254,f,2416349,2416349,0.899352,1,t,sub:Harris — drawn district 1 (pop 2416349),759ccf2e-97ea-469b-9fe7-187ccac2ccf2,d8718216-beb7-4173-8f88-a4cdff5fb013
Harris,2,5,4.998746,f,2415137,2415137,0.890738,1,t,sub:Harris — drawn district 2 (pop 2415137),6b3c54eb-b24b-48d2-bc5d-b22064ffd1e8,d8718216-beb7-4173-8f88-a4cdff5fb013
