map,scope,fingerprint,districts,scope_jurisdiction_id
Auto Map Draft 1,Guangzhou Province,e8263e5c1ded8edc9d83b9308afcd508,5,dbf70fed-03fc-45a7-b945-462b815df628
Manual Map Draft 1,Guangzhou Province,c1944ab1b549cc078fc320442080f34d,4,dbf70fed-03fc-45a7-b945-462b815df628
Auto Map Draft 1,Guizhou Province,a87695b8ddc8158ba719e18d5a6214c0,2,3a4ceed0-b98e-4e7a-b4ad-fa1b026b9720
Manual Map Draft 1,Guizhou Province,a87695b8ddc8158ba719e18d5a6214c0,2,3a4ceed0-b98e-4e7a-b4ad-fa1b026b9720
Auto Map Draft 1,Gujarāt,f7b9b4eaa521f0af3d3cc2ff6b3b876e,2,9b8e8125-1bbb-47ad-b852-499f8dd30d80
Manual Map Draft 1,Gujarāt,f7b9b4eaa521f0af3d3cc2ff6b3b876e,2,9b8e8125-1bbb-47ad-b852-499f8dd30d80
Auto Map Draft 1,Hebei Province,a0177ebf1cfc9f254541ec3bcde64e12,2,e87c8a36-a58a-41fe-bf3a-5f64aafb506c
Manual Map Draft 1,Hebei Province,40a061a4de9e48f6f7e5825554d07261,2,e87c8a36-a58a-41fe-bf3a-5f64aafb506c
Auto Map Draft 1,Henan Province,6a1390af6f01c13d15a710f87f5f6924,3,c94aeb5a-6ef5-4698-abcd-c267b1e47792
Manual Map Draft 1,Henan Province,6a1390af6f01c13d15a710f87f5f6924,3,c94aeb5a-6ef5-4698-abcd-c267b1e47792
Auto Map Draft 1,Hubei Province,dc55ff59c010a3d955b736928837faf0,2,498d6ec4-07f7-458d-9136-54b7342b8179
Manual Map Draft 1,Hubei Province,dc55ff59c010a3d955b736928837faf0,2,498d6ec4-07f7-458d-9136-54b7342b8179
Auto Map Draft 1,Hunan Province,954c796e33f105312475bcb966728603,2,664a905a-34c6-4334-bd0b-e11b0e6142c8
Manual Map Draft 1,Hunan Province,954c796e33f105312475bcb966728603,2,664a905a-34c6-4334-bd0b-e11b0e6142c8
Auto Map Draft 1,India,89183f6c07606c4c141f29865e9dd256,8,24576efc-f6c8-4304-891b-4c19eac6695e
Manual Map Draft 1,India,89183f6c07606c4c141f29865e9dd256,8,24576efc-f6c8-4304-891b-4c19eac6695e
Auto Map Draft 1,Indonesia,4b66e64fda153aa40f6ef1479d1e1b71,6,8b8c83a3-b11b-40fa-86db-580b0cade7ec
Manual Map Draft 1,Indonesia,4b66e64fda153aa40f6ef1479d1e1b71,6,8b8c83a3-b11b-40fa-86db-580b0cade7ec
Auto Map Draft 1,Iran (Islamic Republic of),9815f8648ae784e844d4bb3d871c763f,3,57f55b86-ff98-49ca-be77-7e41e419b2de
Manual Map Draft 1,Iran (Islamic Republic of),9815f8648ae784e844d4bb3d871c763f,3,57f55b86-ff98-49ca-be77-7e41e419b2de
Auto Map Draft 1,Iraq,923f9b17dd338fa90a4b3c098ef60dd2,2,80195266-d221-4899-82d1-466814ca63b0
Manual Map Draft 1,Iraq,923f9b17dd338fa90a4b3c098ef60dd2,2,80195266-d221-4899-82d1-466814ca63b0
Auto Map Draft 1,Italy,7f72eaf28358ad8ff6e3193996a9604a,2,2b3c667c-4f1f-4f79-9563-71a0be3fb59a
Manual Map Draft 1,Italy,7f72eaf28358ad8ff6e3193996a9604a,2,2b3c667c-4f1f-4f79-9563-71a0be3fb59a
Auto Map Draft 1,Japan,066038b65dddbcf2aa444b101a4907a6,4,0c052658-60d3-40d9-a891-0322be90235c
Manual Map Draft 1,Japan,1bcec223d46c2ddbb35f511a53abab42,4,0c052658-60d3-40d9-a891-0322be90235c
Auto Map Draft 1,Jhārkhand,4183c57bcbd02acccfa51fb5e80bc580,2,1bf3192e-e316-493b-ab1b-f3dc6e9250aa
Manual Map Draft 1,Jhārkhand,4183c57bcbd02acccfa51fb5e80bc580,2,1bf3192e-e316-493b-ab1b-f3dc6e9250aa
Auto Map Draft 1,Jiangsu Province,11e08dd862dcee0632252bc541be894a,3,e67a781f-74a2-4d35-8403-40b545bce681
Manual Map Draft 1,Jiangsu Province,11e08dd862dcee0632252bc541be894a,3,e67a781f-74a2-4d35-8403-40b545bce681
Auto Map Draft 1,Jiangxi Province,64780ccfc204bf662d2629c604578024,2,03968822-fd4f-4225-92d7-df71ff511775
Manual Map Draft 1,Jiangxi Province,64780ccfc204bf662d2629c604578024,2,03968822-fd4f-4225-92d7-df71ff511775
Auto Map Draft 1,Karnātaka,d2c93a50fc3f0c32ff4033c7cdc7e413,2,688e4841-8254-4d76-9b20-72550aad9208
Manual Map Draft 1,Karnātaka,d2c93a50fc3f0c32ff4033c7cdc7e413,2,688e4841-8254-4d76-9b20-72550aad9208
Auto Map Draft 1,Kenya,4609efce7eb3fc2e02a7819e627bafb6,2,3813611f-ad9a-4f64-bf4c-bd9c4af14072
Manual Map Draft 1,Kenya,4609efce7eb3fc2e02a7819e627bafb6,2,3813611f-ad9a-4f64-bf4c-bd9c4af14072
Auto Map Draft 1,Khyber Pakhtunkhwa,0ee8d8860fb3e04185b28ddbf5c401a9,2,e76a7a93-be46-47a2-a46b-ae29bf1d4c8f
Manual Map Draft 1,Khyber Pakhtunkhwa,86f2102adade11b8fada51e98ce8ccd6,2,e76a7a93-be46-47a2-a46b-ae29bf1d4c8f
Auto Map Draft 1,Liaoning Province,503324ff6ad8490228ac040579a384c1,2,acc72b39-d670-40d4-af41-39f84054a6b7
Manual Map Draft 1,Liaoning Province,503324ff6ad8490228ac040579a384c1,2,acc72b39-d670-40d4-af41-39f84054a6b7
Auto Map Draft 1,Madhya Pradesh,e0a32fc28e7e6da28f2036b91fe5359f,3,a590ccbb-79cc-42ea-87cd-84428d95f854
Manual Map Draft 1,Madhya Pradesh,e0a32fc28e7e6da28f2036b91fe5359f,3,a590ccbb-79cc-42ea-87cd-84428d95f854
Auto Map Draft 1,Mahārāshtra,b8147cb61a0c1faf7bd902ad3993f2dd,4,d9d25ed5-9f43-43cc-b034-73945fd31051
Manual Map Draft 1,Mahārāshtra,422c12cbde3e4713b49e928b869d04b1,4,d9d25ed5-9f43-43cc-b034-73945fd31051
Auto Map Draft 1,Mexico,39283c970366d5939a514068c262a691,4,0e8f11f5-458e-4c2a-9c9c-d2151ebfaa32
Manual Map Draft 1,Mexico,39283c970366d5939a514068c262a691,4,0e8f11f5-458e-4c2a-9c9c-d2151ebfaa32
Auto Map Draft 1,Myanmar,54a096e9367879e1e983fd00acdc0d9e,2,068c5d9a-673c-411f-b771-5e10af257eff
Manual Map Draft 1,Myanmar,54a096e9367879e1e983fd00acdc0d9e,2,068c5d9a-673c-411f-b771-5e10af257eff
Auto Map Draft 1,Nigeria,02fe32e3cd23ea31dc1093567b4a0304,7,0a3f5aed-1a55-4284-a86d-6c91b3ddf5be
Manual Map Draft 1,Nigeria,02fe32e3cd23ea31dc1093567b4a0304,7,0a3f5aed-1a55-4284-a86d-6c91b3ddf5be
Auto Map Draft 1,Odisha,5ce95a6a87a25ad7ceb7151ed988bbce,2,bf31e7f8-eef5-464f-a3bc-c2a49fb8b13c
Manual Map Draft 1,Odisha,5ce95a6a87a25ad7ceb7151ed988bbce,2,bf31e7f8-eef5-464f-a3bc-c2a49fb8b13c
Auto Map Draft 1,Oromia,abcb28392f193f13e96696a34e01ae6a,2,7c6ecbb4-f0bb-4784-bc35-9149b177e854
Manual Map Draft 1,Oromia,9abf3aefde411e54ed7f1769fcd002c4,2,7c6ecbb4-f0bb-4784-bc35-9149b177e854
Auto Map Draft 1,Pakistan,1003807247ddcb30d8798ed952ae5c79,1,cb6f0222-da4f-4d8e-86de-ff3018992713
Manual Map Draft 1,Pakistan,1003807247ddcb30d8798ed952ae5c79,1,cb6f0222-da4f-4d8e-86de-ff3018992713
Auto Map Draft 1,Philippines,15551591b0b7706e566ef3d987c76650,4,4062a27c-dde1-4cc0-af39-863b75dc8480
Manual Map Draft 1,Philippines,10f3bccf27ef29f7b3510ba1a99c285f,4,4062a27c-dde1-4cc0-af39-863b75dc8480
Auto Map Draft 1,Poland,36ebbc97b0836988f9c600ae77d6918a,2,d71cf8f0-4722-487b-84aa-64b0fdd71ac4
Manual Map Draft 1,Poland,36ebbc97b0836988f9c600ae77d6918a,2,d71cf8f0-4722-487b-84aa-64b0fdd71ac4
Auto Map Draft 1,Punjab,63fd9ec504938b71cd465e48aa55c611,4,3440afe2-a412-4d9d-9024-b6009f809339
Manual Map Draft 1,Punjab,bfce3b95837011595e461816fd7f0c14,4,3440afe2-a412-4d9d-9024-b6009f809339
Auto Map Draft 1,Republic of Korea,b3b908b442efc0ffcb301fd355322d17,2,832004e0-d22d-4b7b-a03f-81e300cefbf9
Manual Map Draft 1,Republic of Korea,b3b908b442efc0ffcb301fd355322d17,2,832004e0-d22d-4b7b-a03f-81e300cefbf9
Auto Map Draft 1,Russian Federation,b35fa3e1046f56b92585f183ec9d2686,4,d990fc35-cfcb-4f66-b556-031538196f6c
Manual Map Draft 1,Russian Federation,ec10b739c008211c58c65759d19dd025,4,d990fc35-cfcb-4f66-b556-031538196f6c
Auto Map Draft 1,Rājasthān,b5b31c5b370231234abda4448057d2c1,3,a0614e7a-dc45-41d3-b9f3-59b746890a9a
Manual Map Draft 1,Rājasthān,b5b31c5b370231234abda4448057d2c1,3,a0614e7a-dc45-41d3-b9f3-59b746890a9a
Auto Map Draft 1,Sao Paulo,d44b6cd73e8060ed00107b7f2a39949b,2,36de5c9d-1561-47f9-a4ee-49ae070051d1
Manual Map Draft 1,Sao Paulo,d44b6cd73e8060ed00107b7f2a39949b,2,36de5c9d-1561-47f9-a4ee-49ae070051d1
Auto Map Draft 1,Shaanxi Province,b8179476e6d63fca102b8197f79a6093,2,6d7c6070-cde3-4839-9091-89a876e4c4d2
Manual Map Draft 1,Shaanxi Province,b8179476e6d63fca102b8197f79a6093,2,6d7c6070-cde3-4839-9091-89a876e4c4d2
Auto Map Draft 1,Shandong Province,953fd86420b88ca8aadeb31007240929,3,9b746c04-73dc-458a-b05a-42fbf10f4dc0
Manual Map Draft 1,Shandong Province,953fd86420b88ca8aadeb31007240929,3,9b746c04-73dc-458a-b05a-42fbf10f4dc0
Auto Map Draft 1,Sichuan Province,6e709e8d58344340b4b45ce07113d787,3,e08a8b55-6467-4ec9-ba6d-0f9d1c19cd63
Manual Map Draft 1,Sichuan Province,6e709e8d58344340b4b45ce07113d787,3,e08a8b55-6467-4ec9-ba6d-0f9d1c19cd63
Auto Map Draft 1,Sindh,4c2e82fe9b315c057d31bb43eb33f5ed,2,ff58aed2-d170-4b9d-89a3-641947355403
Manual Map Draft 1,Sindh,4c2e82fe9b315c057d31bb43eb33f5ed,2,ff58aed2-d170-4b9d-89a3-641947355403
