scope,district_number,seats,fractional_seats,floor_override,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
Central Visayas,1,7,6.818553,f,1608095,1608095,0.479383,6,t,Negros Oriental; Siquijor,2f758ad3-a3b7-4495-8232-2cca90a14df4,f5aa0afb-9877-41a1-be15-e846c7b14715
Central Visayas,2,6,6.181447,f,1457839,1457839,0.639882,78,t,Bohol,016dae97-72da-4809-8fa6-087ef280ddd4,f5aa0afb-9877-41a1-be15-e846c7b14715
Davao Region,1,7,7.145315,f,1736258,1736258,0.446383,13,t,Compostela Valley; Davao Occidental; Davao Oriental,1f709bea-54d6-4c86-bfdb-6a28e2f4b26e,b9b9a46a-d20f-4990-ac99-e30b856348bf
Davao Region,2,5,4.854685,f,1179652,1179652,0.583958,5,t,Davao del Norte,b90df85c-420a-4411-8a83-ccbe77e44a1a,b9b9a46a-d20f-4990-ac99-e30b856348bf
Davao del Sur,1,8,7.954822,f,1861549,1861549,0.828973,2,t,Davao City,0caa8fbc-9130-4215-818e-ee47f3af0091,56bdf26c-cf7c-4b08-a1ff-1c16840c1df0
Davao del Sur,2,3,3.045178,t,712618,712618,0.781511,1,t,Bansalan; City of Digos; Hagonoy; Kiblawan; Magsaysay; Malalag; Matanao; Padada; Santa Cruz; Sulop,5671bac2-029f-4141-a739-3abb25b938d3,56bdf26c-cf7c-4b08-a1ff-1c16840c1df0
Eastern Visayas,1,9,8.952765,f,2121932,2121932,0.572855,21,t,Leyte,f149a9e6-6f01-43d2-8a8b-0e4cb536c67b,2a9c4342-c7a2-46a9-ac2c-1757a4023e97
Eastern Visayas,2,5,4.907281,f,1163095,1163095,0.348805,91,t,Eastern Samar; Northern Samar,50c25032-c8ad-42ab-a291-bf060513da16,2a9c4342-c7a2-46a9-ac2c-1757a4023e97
Eastern Visayas,3,6,6.139954,f,1455256,1455256,0.316727,78,f,Biliran; Samar; Southern Leyte,8c8141b9-a68d-4688-aa72-feef37b76dd1,2a9c4342-c7a2-46a9-ac2c-1757a4023e97
Ilocos Region,1,6,6.153766,f,1379345,1379345,0.577837,3,t,Ilocos Norte; Ilocos Sur,eb2fd7ad-6554-4a1c-8e44-3f92f0363a7c,68ffa7ba-1514-49cb-b87f-d04fff0a8667
Ilocos Region,2,4,3.846234,t,862120,862120,0.769819,2,t,La Union,9e619f06-5289-457c-a5ab-072be189f118,68ffa7ba-1514-49cb-b87f-d04fff0a8667
Iloilo,1,6,5.929695,f,1415911,1415911,0.719346,1,t,Alimodian; Cabatuan; Dumangas; Guimbal; Igbaras; Iloilo City; Leganes; Leon; Maasin; Miagao; New Lucena; Oton; Pavia; San Joaquin; San Miguel; Santa Barbara; Tigbauan; Tubungan; Zarraga,6a9a7e01-3fba-44e9-bfb9-de1730ad10a8,6f6a314b-05d6-4bc0-9205-86a60f4da51c
Iloilo,2,5,5.070305,f,1210703,1210703,0.495574,54,t,Ajuy; Anilao; Badiangan; Balasan; Banate; Barotac Nuevo; Barotac Viejo; Batad; Bingawan; Calinog; Carles; City of Passi; Concepcion; Dingle; Dueñas; Estancia; Janiuay; Lambunao; Lemery; Mina; Pototan; San Dionisio; San Enrique; San Rafael; Sara,3469cca6-373e-4af6-a379-033a9f95d122,6f6a314b-05d6-4bc0-9205-86a60f4da51c
Laguna,1,5,5.088472,f,1203906,1203906,0.733339,1,t,City of Biñan; City of San Pedro; City of Santa Rosa,3d9c9f79-5d1a-45a8-acda-75f9433b1640,6bb01433-3375-4ef5-b127-ffd43ab4ab8b
Laguna,2,5,5.012071,f,1185830,1185830,0.553736,2,t,Alaminos; Bay; Cabuyao City; City of Calamba; Los Baños,a8e9af49-19d5-477c-8b60-26e6d4648ce4,6bb01433-3375-4ef5-b127-ffd43ab4ab8b
Laguna,3,5,4.899457,f,1159186,1159186,0.724528,7,t,Calauan; Cavinti; Famy; Kalayaan; Liliw; Luisiana; Lumban; Mabitac; Magdalena; Majayjay; Nagcarlan; Paete; Pagsanjan; Pakil; Pangil; Pila; Rizal; San Pablo City; Santa Cruz; Santa Maria; Siniloan; Victoria,a3d13515-e788-4fe2-afe0-d884f8f8bad6,6bb01433-3375-4ef5-b127-ffd43ab4ab8b
Mimaropa,1,5,5.386895,f,1296302,1296302,0.131897,66,t,Palawan,5abd0951-9546-4b70-909e-e5ce99c877f6,3f4e74e5-a7a5-48f5-9e95-b902573d3ed0
Mimaropa,2,9,8.613105,f,2072657,2072657,0.346870,54,t,Marinduque; Occidental Mindoro; Oriental Mindoro; Romblon,9cc0208e-40e6-4128-ab6e-7b2b65b4c2f9,3f4e74e5-a7a5-48f5-9e95-b902573d3ed0
NCR,1,9,9.000000,f,1857312,1857312,0.680464,3,t,"NCR, City of Manila, First District",c3cbb2d1-a9a2-4f48-bd4a-8ecd67c760ad,fba2aa5a-edcf-4aba-959e-eab482aeb022
"NCR, Fourth District",1,9,8.852313,f,2143446,2143446,0.740397,1,t,City of Makati; Pasay City; Pateros; Taguig City,6ee1be48-38a4-4465-9393-a820937ad113,1c713196-11fc-4c2c-9d5f-5e93113752c2
"NCR, Fourth District",2,8,8.147687,f,1972832,1972832,0.804294,1,t,City of Las Piñas; City of Muntinlupa; City of Parañaque,be5f8c68-2753-4d0d-9d20-fe93428ef741,1c713196-11fc-4c2c-9d5f-5e93113752c2
"NCR, Second District",1,5,5.164522,f,1672023,1672023,0.451775,2,t,Caloocan City,3f138a41-470a-4deb-b7b7-6d363723498a,5564b05a-07fa-4307-a82c-08955349624b
"NCR, Second District",2,6,5.835478,f,1889246,1889246,0.592989,1,t,City of Mandaluyong; City of Marikina; City of Pasig; City of San Juan,7f62176c-bb84-4304-bef9-aff570d2fe30,5564b05a-07fa-4307-a82c-08955349624b
"NCR, Third District",1,7,6.794968,f,759714,759714,0.696343,1,t,City of Valenzuela,92f75981-1ff6-4f84-8f19-38fbe43bffca,81d759f2-2704-46c2-89d4-b96072dea3c7
"NCR, Third District",2,6,6.205032,f,693756,693756,0.596628,1,t,City of Malabon; City of Navotas,f5126b8c-c85c-4f00-9463-3bb1466993cb,81d759f2-2704-46c2-89d4-b96072dea3c7
Negros Occidental,1,7,6.997491,f,1687591,1687591,0.646442,41,t,Bago City; Binalbagan; Calatrava; Candoni; Cauayan; City of Himamaylan; City of Kabankalan; City of Sipalay; Hinigaran; Hinoba-An; Ilog; Isabela; La Carlota City; La Castellana; Moises Padilla; Pontevedra; Pulupandan; San Carlos City; San Enrique; Valladolid,47c374c3-3f22-4219-87b6-22e08aab959f,0f08bfe0-f244-4d97-b7a8-eac262305735
Negros Occidental,2,7,7.002509,f,1688801,1688801,0.769351,28,t,Bacolod City; Cadiz City; City of Escalante; City of Talisay; City of Victorias; Enrique B. Magalona; Manapla; Murcia; Sagay City; Salvador Benedicto; Silay City; Toboso,5243971d-e3be-4755-98ff-9f823122c029,0f08bfe0-f244-4d97-b7a8-eac262305735
Northern Mindanao,1,7,7.453887,f,1782119,1782119,0.595168,4,t,Lanao del Norte; Misamis Occidental,162a8e5f-d69d-4de2-a0f4-2ec0f00dde52,9d16da04-80aa-4499-92cd-0733d8cbcdd1
Northern Mindanao,2,7,6.764658,f,1617334,1617334,0.894374,1,t,Bukidnon,8186f70b-4761-429b-ab3e-88e60ea00d88,9d16da04-80aa-4499-92cd-0733d8cbcdd1
Northern Mindanao,3,8,7.781455,f,1860436,1860436,0.434618,4,t,Camiguin; Misamis Oriental,31ca8196-7362-437f-b042-4b847a602c8f,9d16da04-80aa-4499-92cd-0733d8cbcdd1
Nueva Ecija,1,5,4.974680,f,1205834,1205834,0.796814,11,t,Aliaga; Bongabon; Carranglan; Cuyapo; General Mamerto Natividad; Guimba; Licab; Llanera; Lupao; Nampicuan; Pantabangan; Quezon; Rizal; San Jose City; Santo Domingo; Science City of Muñoz; Talavera; Talugtug,b031c272-886a-47c2-bbcc-948543973725,68cec397-71fc-4b02-9c6d-f77d2e5576d7
Nueva Ecija,2,5,5.025320,f,1218109,1218109,0.826424,1,t,Cabanatuan City; Cabiao; City of Gapan; Gabaldon; General Tinio; Jaen; Laur; Palayan City; Peñaranda; San Antonio; San Isidro; San Leonardo; Santa Rosa; Zaragoza,3fa1e800-ebd0-4f19-ad5f-28283b5c4387,68cec397-71fc-4b02-9c6d-f77d2e5576d7
Pampanga,1,6,6.096388,f,1426704,1426704,0.765428,1,t,Apalit; Bacolor; City of San Fernando; Floridablanca; Guagua; Lubao; Macabebe; Masantol; Minalin; Porac; Santa Rita; Sasmuan,1ae02d2f-a247-4351-890c-f591c3f1967d,c4cfbd6b-b06e-4d39-af16-e0f731c78a4f
Pampanga,2,7,6.903612,f,1615614,1615614,0.747878,1,t,Angeles City; Arayat; Candaba; Mabalacat City; Magalang; Mexico; San Luis; San Simon; Santa Ana; Santo Tomas,b19204db-73e2-4346-b0e6-3b86341b063f,c4cfbd6b-b06e-4d39-af16-e0f731c78a4f
Pangasinan,1,7,6.834105,f,1619242,1619242,0.664826,125,t,Agno; Aguilar; Alcala; Anda; Bani; Basista; Bautista; Bayambang; Binmaley; Bolinao; Bugallon; Burgos; City of Alaminos; Dasol; Infanta; Labrador; Lingayen; Mabini; Malasiqui; Mangatarem; San Carlos City; Santo Tomas; Sual; Urbiztondo,2f174696-29d2-400e-bfd1-98901bbdf3b5,1f479a6d-3c4c-4551-ad51-1c3d56bd7d67
Pangasinan,2,7,7.165895,f,1697855,1697855,0.858512,1,t,Asingan; Balungao; Binalonan; Calasiao; City of Urdaneta; Dagupan City; Laoac; Manaoag; Mangaldan; Mapandan; Natividad; Pozorrubio; Rosales; San Fabian; San Jacinto; San Manuel; San Nicolas; San Quintin; Santa Barbara; Santa Maria; Sison; Tayug; Umingan; Villasis,51596216-02bf-489f-81f9-15084bcad9a7,1f479a6d-3c4c-4551-ad51-1c3d56bd7d67
Quezon,1,5,4.869907,f,1134026,1134026,0.594265,8,t,Candelaria; City of Tayabas; Dolores; Lucban; Lucena City; Mauban; Pagbilao; Sampaloc; San Antonio; Sariaya; Tiaong,52598a73-4bf4-4524-8315-e0d0cafea64d,db499a33-fbdc-4307-923b-d79726b18170
Quezon,2,5,5.130093,f,1194614,1194614,0.338776,66,f,Agdangan; Alabat; Atimonan; Buenavista; Burdeos; Calauag; Catanauan; General Luna; General Nakar; Guinayangan; Gumaca; Infanta; Jomalig; Lopez; Macalelon; Mulanay; Padre Burgos; Panukulan; Patnanungan; Perez; Pitogo; Plaridel; Polillo; Quezon; Real; San Andres; San Francisco; San Narciso; Tagkawayan; Unisan,ba198bfc-b604-4c4d-9383-7f51ad8ae70f,db499a33-fbdc-4307-923b-d79726b18170
Quezon City,1,5,5.000111,f,1583592,1583592,0.840694,1,t,sub:Quezon City — drawn district 1 (pop 1583592),5591bb06-ec37-45b9-af59-1c53f3a87cb3,4d95cda8-bc3f-4bdc-b779-aabd10b0b146
Quezon City,2,5,4.999889,f,1583522,1583522,0.820850,1,t,sub:Quezon City — drawn district 2 (pop 1583522),149fa638-067e-4d9e-8e62-69343c88eb46,4d95cda8-bc3f-4bdc-b779-aabd10b0b146
Rizal,1,7,6.982549,f,1628344,1628344,0.534719,13,t,Baras; Binangonan; Cardona; Jala-Jala; Morong; Pililla; Rodriguez; San Mateo; Tanay; Teresa,3379416c-7175-4e66-b8ef-e1ce30cc51dd,5a07be3d-64ba-4272-af2c-9cd289593301
Rizal,2,8,8.017451,f,1869685,1869685,0.704346,1,t,Angono; Cainta; City of Antipolo; Taytay,9b11c27e-28e9-4f2c-9a9e-6b5188f1f0ef,5a07be3d-64ba-4272-af2c-9cd289593301
Soccsksargen,1,9,9.111952,f,1753762,1753762,0.807826,1,t,South Cotabato,90e95f37-0ac7-4623-bdf5-7932e552b891,ad2ed904-d454-480b-9e0b-2634edaced1a
Soccsksargen,2,8,8.126756,f,1564143,1564143,0.798850,1,t,Cotabato,887ea05d-1bd3-4622-89cb-67ab42df84d3,ad2ed904-d454-480b-9e0b-2634edaced1a
Soccsksargen,3,5,4.761293,f,916398,916398,0.247123,3,f,Cotabato City; Sarangani,d90839db-ce54-49f5-8149-b3064db30d64,ad2ed904-d454-480b-9e0b-2634edaced1a
Western Visayas,1,3,2.772059,t,644984,644984,0.552817,9,t,Aklan,c82694fd-5a9d-4365-bbba-35bdcd6f64cc,bd97ad06-2bbc-4f45-89b2-387701b6c903
Western Visayas,2,7,7.227941,f,1681749,1681749,0.244814,53,t,Antique; Capiz; Guimaras,287c1823-6562-45df-b85c-00a504e646bd,bd97ad06-2bbc-4f45-89b2-387701b6c903
Zamboanga Peninsula,1,8,8.037879,f,2119011,2119011,0.345792,49,t,Zamboanga del Sur,7f428651-9e8a-4e5e-89c6-2deacfa0a50d,4676973a-ab2c-48e9-87e2-2de7d3f426b7
Zamboanga Peninsula,2,9,8.962121,f,2362667,2362667,0.370900,98,f,Basilan; City of Isabela; Zamboanga Sibugay; Zamboanga del Norte,e0b06ae9-9684-4b69-b592-bcf0a8253b58,4676973a-ab2c-48e9-87e2-2de7d3f426b7
