map,scope,districts,seats,frac_sum,fit_gap,noncontig,avg_chr,band_violations,floor_overrides,scope_jurisdiction_id
Manual Map Draft,Pennsylvania,3,26,26.0000,0.3667,0,0.8243,0,0,f3baf969-43c3-4b38-9fcb-4aef59ffb6fe
Initial Map (bootstrap),South Carolina,2,10,10.0000,0.0003,0,0.8309,0,1,25e4ca32-695b-42ba-abfb-bc8e8ef76343
Manual Map Draft,South Carolina,2,10,10.0000,0.1082,0,0.8437,0,0,25e4ca32-695b-42ba-abfb-bc8e8ef76343
Initial Map (bootstrap),Tennessee,2,14,14.0000,0.0119,0,0.8838,0,0,5ab43674-26fa-4f78-b6b1-ddc62aa62c70
Manual Map Draft,Tennessee,2,14,14.0000,0.0119,0,0.8838,0,0,5ab43674-26fa-4f78-b6b1-ddc62aa62c70
Initial Map (bootstrap),Texas,10,50,50.0000,1.1056,0,0.7236,0,5,4d8d3a87-a166-4070-b542-a4fba7652364
Manual Map Draft,Texas,6,50,50.0000,0.4994,0,0.7957,0,0,4d8d3a87-a166-4070-b542-a4fba7652364
Initial Map (bootstrap),United States of America,16,116,116.0000,4.2330,2,0.7250,0,0,cd7f7810-915a-4d9e-a424-b8645c25ec42
Manual Map Draft,United States of America,17,116,116.0000,3.7408,2,0.7349,0,0,cd7f7810-915a-4d9e-a424-b8645c25ec42
Initial Map (bootstrap),Virginia,3,19,19.0000,0.1642,1,0.7055,0,0,4df75309-cf35-4142-a6bb-4400d889d78b
Manual Map Draft,Virginia,3,19,19.0000,0.1642,1,0.6944,0,0,4df75309-cf35-4142-a6bb-4400d889d78b
Initial Map (bootstrap),Washington,2,16,16.0000,0.1064,0,0.7977,0,0,1a671cf3-91b0-4ec0-b93b-f6aaf8979e59
Manual Map Draft,Washington,2,16,16.0000,0.1064,0,0.7977,0,0,1a671cf3-91b0-4ec0-b93b-f6aaf8979e59
Initial Map (bootstrap),Wisconsin,2,12,12.0000,0.0496,0,0.7002,0,0,af2f43ab-c8a4-4541-a77a-2ea7edc82d5b
Manual Map Draft,Wisconsin,2,12,12.0000,0.0496,0,0.7002,0,0,af2f43ab-c8a4-4541-a77a-2ea7edc82d5b
