map,scope,districts,seats,frac_sum,fit_gap,noncontig,avg_chr,band_violations,floor_overrides,scope_jurisdiction_id
Manual Map Draft 1,Guangxi Zhuang Autonomous Region,2,12,12.0000,0.0373,0,0.7903,0,0,c0106560-83af-412a-8ecf-3a4cd802e4a0
Auto Map Draft 1,Guangzhou Province,5,30,30.0000,0.2820,1,0.5560,0,0,dbf70fed-03fc-45a7-b945-462b815df628
Manual Map Draft 1,Guangzhou Province,4,30,30.0000,0.0553,0,0.7395,0,0,dbf70fed-03fc-45a7-b945-462b815df628
Auto Map Draft 1,Guizhou Province,2,10,10.0000,0.0676,0,0.7256,0,1,3a4ceed0-b98e-4e7a-b4ad-fa1b026b9720
Manual Map Draft 1,Guizhou Province,2,10,10.0000,0.0676,0,0.7256,0,1,3a4ceed0-b98e-4e7a-b4ad-fa1b026b9720
Auto Map Draft 1,Gujarāt,2,18,18.0000,0.0354,0,0.7193,0,0,9b8e8125-1bbb-47ad-b852-499f8dd30d80
Manual Map Draft 1,Gujarāt,2,18,18.0000,0.0354,0,0.7193,0,0,9b8e8125-1bbb-47ad-b852-499f8dd30d80
Auto Map Draft 1,Hebei Province,2,18,18.0000,0.2595,0,0.5701,0,0,e87c8a36-a58a-41fe-bf3a-5f64aafb506c
Manual Map Draft 1,Hebei Province,2,18,18.0000,0.0027,0,0.7127,0,0,e87c8a36-a58a-41fe-bf3a-5f64aafb506c
Auto Map Draft 1,Henan Province,3,26,26.0000,0.1021,0,0.7746,0,0,c94aeb5a-6ef5-4698-abcd-c267b1e47792
Manual Map Draft 1,Henan Province,3,26,26.0000,0.1021,0,0.7746,0,0,c94aeb5a-6ef5-4698-abcd-c267b1e47792
Auto Map Draft 1,Hubei Province,2,14,14.0000,0.0217,0,0.7301,0,0,498d6ec4-07f7-458d-9136-54b7342b8179
Manual Map Draft 1,Hubei Province,2,14,14.0000,0.0217,0,0.7301,0,0,498d6ec4-07f7-458d-9136-54b7342b8179
Auto Map Draft 1,Hunan Province,2,17,17.0000,0.0015,0,0.7688,0,0,664a905a-34c6-4334-bd0b-e11b0e6142c8
Manual Map Draft 1,Hunan Province,2,17,17.0000,0.0015,0,0.7688,0,0,664a905a-34c6-4334-bd0b-e11b0e6142c8
Auto Map Draft 1,India,8,64,64.0000,2.1402,3,0.5269,0,1,24576efc-f6c8-4304-891b-4c19eac6695e
Manual Map Draft 1,India,8,64,64.0000,2.1402,3,0.5269,0,1,24576efc-f6c8-4304-891b-4c19eac6695e
Auto Map Draft 1,Indonesia,6,46,46.0000,1.1044,2,0.3424,0,0,8b8c83a3-b11b-40fa-86db-580b0cade7ec
Manual Map Draft 1,Indonesia,6,46,46.0000,1.1044,2,0.3424,0,0,8b8c83a3-b11b-40fa-86db-580b0cade7ec
