scope,district_number,seats,fractional_seats,floor_override,bonus_seats,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
MUKIM LUMUT,1,8,7.998621,f,0,31901,31901,0.588807,7,f,sub:MUKIM LUMUT — drawn district 9 (pop 31901),0fd867a5-ffd7-4cf6-875d-e098e0b9750c,fc2d1fd0-c72b-46ee-9f89-24971ad59507
MUKIM LUMUT,2,8,8.001630,f,0,31913,31913,0.730708,4,f,sub:MUKIM LUMUT — drawn district 10 (pop 31913),4b961efd-1636-4587-9f17-ad7e476f897b,fc2d1fd0-c72b-46ee-9f89-24971ad59507
MUKIM SITIAWAN,1,7,7.002015,f,0,28668,28668,0.899656,1,t,sub:MUKIM SITIAWAN — drawn district 17 (pop 28668),e2cbfaad-5b44-4393-8e7f-4eff83b331ea,94de8749-79eb-47da-826e-cd5ea2ea815e
MUKIM SITIAWAN,2,7,7.001771,f,0,28667,28667,0.910412,1,t,sub:MUKIM SITIAWAN — drawn district 18 (pop 28667),d216302d-6586-4639-aa84-260b3bd9c277,94de8749-79eb-47da-826e-cd5ea2ea815e
MUKIM SITIAWAN,3,7,7.002992,f,0,28672,28672,0.804737,1,t,sub:MUKIM SITIAWAN — drawn district 19 (pop 28672),2f534824-abf6-4934-b9f6-daf091ae17c4,94de8749-79eb-47da-826e-cd5ea2ea815e
MUKIM SITIAWAN,4,7,6.993222,f,0,28632,28632,0.661624,1,t,sub:MUKIM SITIAWAN — drawn district 20 (pop 28632),9a13d65f-8e6c-4164-b7de-407ea26506bf,94de8749-79eb-47da-826e-cd5ea2ea815e
Manjung,1,9,8.808617,f,0,34920,36761,0.870170,1,t,MUKIM PENGKALAN BAHARU; PEKAN CHANGKAT KERUING; PEKAN PANTAI REMIS; PEKAN PENGKALAN BAHARU; PEKAN SEGARI,c96ffd3b-3085-4f9b-83fb-a7f3c7cfc003,a1344eb6-f992-462f-8304-e68e41764606
Manjung,2,5,5.166894,f,0,13920,21563,0.305330,10,t,BANDAR LUMUT; MUKIM BERUAS; PEKAN AYER TAWAR; PEKAN BERUAS; PEKAN DAMAR LAUT; PEKAN GURNEY; PEKAN KAMPONG BAHARU; PEKAN KAMPONG SITIAWAN; PEKAN PANGKOR; PEKAN PASIR BOGAK; PEKAN SUNGAI PINANG KECHIL,5daf2a65-efab-4817-b731-147eda34a0af,a1344eb6-f992-462f-8304-e68e41764606
Manjung,3,6,6.024489,f,0,26500,25142,0.567934,3,t,MUKIM LEKIR; PEKAN KAMPONG KOH; PEKAN SITIAWAN,d2461a6c-c513-432e-aed6-6213a316b152,a1344eb6-f992-462f-8304-e68e41764606
