scope,district_number,seats,fractional_seats,floor_override,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
Afghanistan,1,5,5.078964,f,20928541,20928541,0.868432,1,t,Badghis; Balkh; Bamyan; Daykundi; Farah; Faryab; Ghanzi; Ghor; Helmand; Herat; Jowzjan; Kandahar; Nimruz; Paktika; Samangan; Sar-e Pol; Uruzgan; Wardak; Zabul,e8fba2a9-78f1-4ba7-931e-8bdea57f71fd,8a4860cf-4340-4464-8570-2130fde10320
Afghanistan,2,5,4.921036,t,20277778,20277778,0.637691,1,t,Badakhshan; Baghlan; Kabul; Kapisa; Khost; Kunar; Kunduz; Laghman; Logar; Nangarhar; Nuristan; Paktia; Panjshir; Parwan; Takhar,5eb98982-4b63-4608-a8eb-55056dc3c59a,8a4860cf-4340-4464-8570-2130fde10320
Algeria,1,6,5.922748,f,24677377,24677377,0.803014,1,t,Adrar; Algiers; Aïn Defla; Aïn Témouchent; Blida; Boumerdès; Béchar; Chlef; Djelfa; El Bayadh; Ghardaia; Illizi; Laghouat; Mascara; Mostaganem; Médéa; Naâma; Oran; Relizane; Saïda; Sidi Bel Abbès; Tamanrasset; Tiaret; Tindouf; Tipaza; Tissemsilt; Tlemcen,6003799d-db8b-45f8-a484-6ac9dd6c21cd,b62fde8a-57bb-46f1-9908-38c673073243
Algeria,2,5,5.077252,f,21154583,21154583,0.697734,1,t,Annaba; Batna; Bejaia; Biskra; Bordj Bou Arreridj‎; Bouira; Constantine; El Oued; El Tarf; Guelma; Jijel; Khenchela; M'Sila; Mila; Ouargla; Oum El Bouaghi; Skikda; Souk Ahras; Sétif; Tizi Ouzou; Tébessa,42e4544f-cbd0-451e-99d6-d3836828627f,b62fde8a-57bb-46f1-9908-38c673073243
Andhra Pradesh,1,7,7.108709,f,28091745,28091745,0.747849,1,t,Anantapur; Chittoor; Guntur; Kadapa(YSR); Kurnool; Prakasam; Sri Potti Sriramulu Nellore,725843e7-1880-4f1b-a9f9-024d5b795a6e,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Andhra Pradesh,2,6,5.891291,f,23280831,23280831,0.669686,2,t,East Godavari; Krishna; Srikakulam; Visakhapatnam; Vizianagaram; West Godavari; Yanam,ca524d6b-a2fd-4c59-99e2-2fdec531d3ad,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Anhui Province,1,8,8.061515,f,32447088,32447088,0.713659,1,t,Bangbushi; Bozhoushi; Changfengxian; Dafengshi; Dingyuanxian; Fengtaixian; Fengyangxian; Funanxian; Fuyangshi; Fuyangshi; Guzhenxian; Huaibeishi; Huainanshi; Huaiyuanxian; Huoqiuxian; Huoshanxian; Jiashanxian; Jieshoushi; Jinzaixian; Laianxian; Lingbixian; Liuanshi; Lixingxian; Mengchengxian; Shouxian; Shuzhoushi; Suixixian; Suzhoushi; Taihexian; Tianchangshi; Woyangxian; Wuhexian; Xiaoxian; Yingshangxian,41c6b24e-98f0-4a86-a367-7c1fa27a08dc,9f1fe628-cae6-4bdd-aec0-e138a7c71b39
Anhui Province,2,7,6.938485,f,27926966,27926966,0.835256,1,t,Anqingshi; Chaohushi; Chaohushi; Chuzhoushi; Dangtuxian; Dongzhixian; Fanchangxian; Feidongxian; Feixixian; Gaochunxian; Guangdexian; Guichishi; Hanshanxian; Hefeishi; Hexian; Huainingxian; Huangshanshi; Huangshanshi; Jiangpuxian; Jingdexian; Jingxian; Jixixian; Langxixian; Lujiangxian; Maanshanshi; Nanlingxian; Ningguoshi; Qianshanxian; Qimenxian; Qingyangxian; Quanjiaoxian; Shexian; Shitaixian; Shuchengxian; Susongxian; Taihuxian; Tongchengxian; Tonglingshi; Tonglingxian; Wangjiangxian; Wuhushi; Wuhuxian; Wuweixian; Xiuningxian; Xuanzhoushi; Yixian; Yuexixian; Zongyangxian,d09f1ba2-a9b3-4500-a92d-d7bd3892b93c,9f1fe628-cae6-4bdd-aec0-e138a7c71b39
Argentina,1,5,5.078434,f,21209758,21209758,0.529142,3,t,Buenos Aires; Chubut; Ciudad Autónoma de Buenos Aires; La Pampa; Neuquén; Río Negro; Santa Cruz; Tierra del Fuego,9a778955-a564-44ff-b416-3f993002b586,2aa6ea56-4ac8-42c7-8ce8-bf0b10247be3
Argentina,2,5,4.921566,t,20554610,20554610,0.819063,1,t,Catamarca; Chaco; Corrientes; Córdoba; Formosa; Jujuy; La Roja; Mendoza; Misiones; Salta; San Juan; San Luis; Santa Fe; Santiago del Estero; Tucumán,f3815558-3e1c-4a17-abe5-c8f6d18b5f62,2aa6ea56-4ac8-42c7-8ce8-bf0b10247be3
Bangladesh,1,8,7.996307,f,32441261,32441261,0.573110,9,t,Chittagong,f5fcce16-fc5e-4c03-b3d5-cefc890236cd,012617d0-cb99-4ad5-9623-d1279d3b7170
Bangladesh,2,7,7.291345,f,29581209,29581209,0.492731,3,f,Rangpur; Sylhet,3aa8eefc-323d-4db6-af27-fc80c2afaf1a,012617d0-cb99-4ad5-9623-d1279d3b7170
Bangladesh,3,7,6.501306,f,26375997,26375997,0.754155,9,t,Barisal; Khulna,5dd42563-0bbe-4b9a-b3f9-20014cf7008d,012617d0-cb99-4ad5-9623-d1279d3b7170
Bangladesh,4,8,8.211042,f,33312447,33312447,0.744339,1,t,Mymensingh; Rajshani,2416b1e2-aafa-44df-831d-ee2a3c36fec1,012617d0-cb99-4ad5-9623-d1279d3b7170
Bihār,1,8,7.927272,f,32230329,32230329,0.641879,1,t,Begusarai; Darbhanga; Jamui; Munger; Muzaffarpur; Nawada; Samastipur; Sheikhpura; Vaishali,5b740ad7-5bad-468f-93fd-2c456b1a3842,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
