id,legislature_id,jurisdiction_id,district_number,seats,target_population,actual_population,created_at,updated_at,deleted_at,status,fractional_seats,floor_override,map_id,num_geom_parts,is_contiguous,convex_hull_ratio
896d461a-eb6f-4553-b8f4-51d1390b5620,0a278010-128b-4cf2-a6fb-36ddd953943f,bc7cbfc2-ad47-44f5-8e74-ffd1ea01a718,1,8,8284,8284,2026-08-27 19:10:44,2026-08-27 19:10:44,,active,8.104233,f,b584f8f7-4d1c-464a-9f87-3bf29444ead2,1,t,0.686929
f0f2d43d-a6c6-4f8b-8576-27aeca9bd2e6,0a278010-128b-4cf2-a6fb-36ddd953943f,4b12a988-0643-47b5-a636-7cbbf11ed0dc,1,5,5414,5414,2026-08-27 19:10:47,2026-08-27 19:10:47,,active,5.001386,f,b584f8f7-4d1c-464a-9f87-3bf29444ead2,1,t,0.846765
9b05e62a-0b01-4f74-90e7-f149e5b2a71b,0a278010-128b-4cf2-a6fb-36ddd953943f,bc7cbfc2-ad47-44f5-8e74-ffd1ea01a718,2,7,7260,7260,2026-08-27 19:10:44,2026-08-27 19:10:44,,active,7.102455,f,b584f8f7-4d1c-464a-9f87-3bf29444ead2,1,t,0.800304
f7f015bf-ed98-45a5-bee1-99ad05a1fb62,0a278010-128b-4cf2-a6fb-36ddd953943f,4b12a988-0643-47b5-a636-7cbbf11ed0dc,2,5,5411,5411,2026-08-27 19:10:47,2026-08-27 19:10:47,,active,4.998614,f,b584f8f7-4d1c-464a-9f87-3bf29444ead2,1,t,0.846201
c6042278-483d-4497-ba7c-f7f398a7cc3a,0a278010-128b-4cf2-a6fb-36ddd953943f,bc7cbfc2-ad47-44f5-8e74-ffd1ea01a718,3,7,6944,6944,2026-08-27 19:10:44,2026-08-27 19:10:45,,active,6.793312,f,b584f8f7-4d1c-464a-9f87-3bf29444ead2,1,t,0.639251
