scope,district_number,seats,fractional_seats,floor_override,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
Afghanistan,1,5,5.078964,f,20928541,20928541,0.868432,1,t,Badghis; Balkh; Bamyan; Daykundi; Farah; Faryab; Ghanzi; Ghor; Helmand; Herat; Jowzjan; Kandahar; Nimruz; Paktika; Samangan; Sar-e Pol; Uruzgan; Wardak; Zabul,70790ae5-424d-4530-9638-50904d75e8e8,8a4860cf-4340-4464-8570-2130fde10320
Afghanistan,2,5,4.921036,t,20277778,20277778,0.637691,1,t,Badakhshan; Baghlan; Kabul; Kapisa; Khost; Kunar; Kunduz; Laghman; Logar; Nangarhar; Nuristan; Paktia; Panjshir; Parwan; Takhar,a7ef0962-edcd-47a3-a44d-4874a53a1c49,8a4860cf-4340-4464-8570-2130fde10320
Algeria,1,6,6.160965,f,25669919,25669919,0.826652,1,t,Adrar; Annaba; Batna; Bejaia; Biskra; Bordj Bou Arreridj‎; Bouira; Constantine; Djelfa; El Oued; El Tarf; Ghardaia; Guelma; Illizi; Jijel; Khenchela; Laghouat; M'Sila; Mila; Médéa; Ouargla; Oum El Bouaghi; Skikda; Souk Ahras; Sétif; Tamanrasset; Tizi Ouzou; Tébessa,8c4f7195-e416-41b4-bbcf-fcd0af9896f3,b62fde8a-57bb-46f1-9908-38c673073243
Algeria,2,5,4.839035,t,20162041,20162041,0.698593,1,t,Algiers; Aïn Defla; Aïn Témouchent; Blida; Boumerdès; Béchar; Chlef; El Bayadh; Mascara; Mostaganem; Naâma; Oran; Relizane; Saïda; Sidi Bel Abbès; Tiaret; Tindouf; Tipaza; Tissemsilt; Tlemcen,c8aff51e-479c-4b86-9337-2d997cdaf88f,b62fde8a-57bb-46f1-9908-38c673073243
Andhra Pradesh,1,7,7.108709,f,28091745,28091745,0.747849,1,t,Anantapur; Chittoor; Guntur; Kadapa(YSR); Kurnool; Prakasam; Sri Potti Sriramulu Nellore,1f3f475e-2c26-44b2-8f12-90a85366a9eb,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Andhra Pradesh,2,6,5.891291,f,23280831,23280831,0.669686,2,t,East Godavari; Krishna; Srikakulam; Visakhapatnam; Vizianagaram; West Godavari; Yanam,516184dc-c447-4377-ad4e-23df23cdb39e,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Anhui Province,1,8,7.851123,f,31600273,31600273,0.773674,1,t,Anqingshi; Chaohushi; Chaohushi; Chuzhoushi; Dangtuxian; Dongzhixian; Fanchangxian; Feidongxian; Feixixian; Gaochunxian; Guangdexian; Guichishi; Hanshanxian; Hefeishi; Hexian; Huainingxian; Huangshanshi; Huangshanshi; Huoshanxian; Jiangpuxian; Jingdexian; Jingxian; Jinzaixian; Jixixian; Laianxian; Langxixian; Liuanshi; Lujiangxian; Maanshanshi; Nanlingxian; Ningguoshi; Qianshanxian; Qimenxian; Qingyangxian; Quanjiaoxian; Shexian; Shitaixian; Shuchengxian; Susongxian; Taihuxian; Tianchangshi; Tongchengxian; Tonglingshi; Tonglingxian; Wangjiangxian; Wuhushi; Wuhuxian; Wuweixian; Xiuningxian; Xuanzhoushi; Yixian; Yuexixian; Zongyangxian,895ebb28-5232-4ab2-b080-c61e059a538e,9f1fe628-cae6-4bdd-aec0-e138a7c71b39
Anhui Province,2,7,7.148877,f,28773781,28773781,0.816737,1,t,Bangbushi; Bozhoushi; Changfengxian; Dafengshi; Dingyuanxian; Fengtaixian; Fengyangxian; Funanxian; Fuyangshi; Fuyangshi; Guzhenxian; Huaibeishi; Huainanshi; Huaiyuanxian; Huoqiuxian; Jiashanxian; Jieshoushi; Lingbixian; Lixingxian; Mengchengxian; Shouxian; Shuzhoushi; Suixixian; Suzhoushi; Taihexian; Woyangxian; Wuhexian; Xiaoxian; Yingshangxian,e4910bef-a13a-4843-9ecb-460aaa58aa2f,9f1fe628-cae6-4bdd-aec0-e138a7c71b39
Argentina,1,5,5.078434,f,21209758,21209758,0.529142,3,t,Buenos Aires; Chubut; Ciudad Autónoma de Buenos Aires; La Pampa; Neuquén; Río Negro; Santa Cruz; Tierra del Fuego,914fafdf-342a-41a4-ae0b-69608739008c,2aa6ea56-4ac8-42c7-8ce8-bf0b10247be3
Argentina,2,5,4.921566,t,20554610,20554610,0.819063,1,t,Catamarca; Chaco; Corrientes; Córdoba; Formosa; Jujuy; La Roja; Mendoza; Misiones; Salta; San Juan; San Luis; Santa Fe; Santiago del Estero; Tucumán,0a399c2a-2912-4439-bcb2-8903a30985db,2aa6ea56-4ac8-42c7-8ce8-bf0b10247be3
Bangladesh,1,8,7.996307,f,32441261,32441261,0.573110,9,t,Chittagong,0ea7d10e-7aff-4070-a074-2f62ccefd29a,012617d0-cb99-4ad5-9623-d1279d3b7170
Bangladesh,2,7,7.291345,f,29581209,29581209,0.492731,3,f,Rangpur; Sylhet,7975ff5b-b86f-46f0-bb9a-10b902b1e865,012617d0-cb99-4ad5-9623-d1279d3b7170
Bangladesh,3,7,6.501306,f,26375997,26375997,0.754155,9,t,Barisal; Khulna,fb46923d-442f-4675-8364-2d5b7a6a87d1,012617d0-cb99-4ad5-9623-d1279d3b7170
Bangladesh,4,8,8.211042,f,33312447,33312447,0.744339,1,t,Mymensingh; Rajshani,5415958c-5809-43ca-a236-3aecb42ec127,012617d0-cb99-4ad5-9623-d1279d3b7170
Bihār,1,8,7.732479,f,31438348,31438348,0.668193,1,t,Begusarai; Darbhanga; Jamui; Lakhisarai; Madhubani; Munger; Muzaffarpur; Samastipur; Sheikhpura,dc1b663d-7b15-4c95-8419-6fae8010f4a7,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,2,8,8.385619,f,34093853,34093853,0.844378,1,t,Arwal; Aurangabad; Bhojpur; Buxar; Gaya; Jehanabad; Kaimur (Bhabua); Nalanda; Nawada; Patna; Rohtas,633265e8-b85a-48a9-84ee-d65197590938,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,3,8,7.888268,f,32071748,32071748,0.682171,1,t,Gopalganj; Pashchim Champaran; Purba Champaran; Saran; Sheohar; Sitamarhi; Siwan; Vaishali,627c94f0-3e0a-47ee-b6dd-0a81f1e108f8,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,4,8,7.993634,f,32500141,32500141,0.732632,1,t,Araria; Banka; Bhagalpur; Katihar; Khagaria; Kishanganj; Madhepura; Purnia; Saharsa; Supaul,0a6db8a3-1a07-46c8-aba7-13571e9ab7da,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Brazil,1,5,5.018862,f,20229074,20229074,0.700219,1,t,Bahia; Piaui; Sergipe,b14007eb-dfa3-45e2-afe1-62785f1df30d,8865c0ea-20a4-4836-bd0b-aef668dcf660
Brazil,2,8,7.788997,f,31394405,31394405,0.818062,6,t,Bombinhas; Parana; Rio Grande do Sul; Santa Catarina,ac282533-2d61-48c0-aee3-03f83625e3f4,8865c0ea-20a4-4836-bd0b-aef668dcf660
Brazil,3,8,7.893293,f,31814782,31814782,0.844234,1,t,Distrito Federal; Goias; Minas Gerais,f0a67b0d-d610-446e-9d0c-8dda9d28b180,8865c0ea-20a4-4836-bd0b-aef668dcf660
Brazil,4,8,7.914047,f,31898431,31898431,0.752127,1,t,Acre; Amapa; Amazonas; Maranhao; Mato Grosso; Mato Grosso do Sul; Para; Rondonia; Roraima; Tocantins,f1cd6030-b86a-4459-a8b9-9496d3966bc5,8865c0ea-20a4-4836-bd0b-aef668dcf660
Brazil,5,5,5.093217,f,20528767,20528767,0.572324,1,t,Espirito Santo; Rio de Jeneiro,a1848188-178f-47ee-b5c1-de39d9fd9086,8865c0ea-20a4-4836-bd0b-aef668dcf660
Brazil,6,7,7.291583,f,29389524,29389524,0.539756,4,t,Alagoas; Ceara; Fernando de Noronha; Paraiba; Pernambuco; Raposa; Rio Granda do Norte,d2fd13f9-1938-4c0a-a116-d0a045b508a8,8865c0ea-20a4-4836-bd0b-aef668dcf660
California,1,5,5.105697,f,20075835,20075835,0.725732,9,t,Alameda; Alpine; Amador; Butte; Calaveras; Colusa; Contra Costa; Del Norte; El Dorado; Fresno; Glenn; Humboldt; Inyo; Kern; Kings; Lake; Lassen; Madera; Marin; Mariposa; Mendocino; Merced; Modoc; Mono; Monterey; Napa; Nevada; Placer; Plumas; Sacramento; San Benito; San Francisco; San Joaquin; San Luis Obispo; San Mateo; Santa Barbara; Santa Clara; Santa Cruz; Shasta; Sierra; Siskiyou; Solano; Sonoma; Stanislaus; Sutter; Tehama; Trinity; Tulare; Tuolumne; Ventura; Yolo; Yuba,1539e122-6c43-404e-b0e9-dd4e201d6128,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
California,2,6,5.894303,f,23176674,23176674,0.808448,3,t,Imperial; Los Angeles; Orange; Riverside; San Bernardino; San Diego,74bb26b1-a104-4173-bcd8-e425e2f6da7f,12ad98fb-6e9e-47b2-9662-7b0dc58a1132
Canada,1,5,4.997822,t,19521079,19521079,0.424417,292,f,Alberta; Ontario,2bd3e003-14d6-4eb5-a343-e573b567f78d,70f5b9f3-48b5-4be7-8045-f62fb883343b
