scope,district_number,seats,fractional_seats,floor_override,target_population,actual_population,convex_hull_ratio,num_geom_parts,is_contiguous,members,district_id,scope_jurisdiction_id
Afghanistan,1,5,5.078964,f,20928541,20928541,0.868432,1,t,Badghis; Balkh; Bamyan; Daykundi; Farah; Faryab; Ghanzi; Ghor; Helmand; Herat; Jowzjan; Kandahar; Nimruz; Paktika; Samangan; Sar-e Pol; Uruzgan; Wardak; Zabul,335dcc49-c23a-48f8-bc6c-27e15a57a079,8a4860cf-4340-4464-8570-2130fde10320
Afghanistan,2,5,4.921036,t,20277778,20277778,0.637691,1,t,Badakhshan; Baghlan; Kabul; Kapisa; Khost; Kunar; Kunduz; Laghman; Logar; Nangarhar; Nuristan; Paktia; Panjshir; Parwan; Takhar,cd9ae00e-83a3-4c68-8c4b-1db387c3e1bb,8a4860cf-4340-4464-8570-2130fde10320
Algeria,1,6,5.903578,f,24597503,24597503,0.884191,1,t,Adrar; Aïn Defla; Aïn Témouchent; Batna; Biskra; Bouira; Béchar; Chlef; Djelfa; El Bayadh; El Oued; Ghardaia; Illizi; Laghouat; M'Sila; Mascara; Mostaganem; Médéa; Naâma; Oran; Ouargla; Relizane; Saïda; Sidi Bel Abbès; Tamanrasset; Tiaret; Tindouf; Tipaza; Tissemsilt; Tlemcen,e837cbea-2483-44a0-a34a-ea4cfeca1ab6,b62fde8a-57bb-46f1-9908-38c673073243
Algeria,2,5,5.096422,f,21234457,21234457,0.629984,1,t,Algiers; Annaba; Bejaia; Blida; Bordj Bou Arreridj‎; Boumerdès; Constantine; El Tarf; Guelma; Jijel; Khenchela; Mila; Oum El Bouaghi; Skikda; Souk Ahras; Sétif; Tizi Ouzou; Tébessa,ecb9fd22-081f-421f-b07c-ed6dabb25c3e,b62fde8a-57bb-46f1-9908-38c673073243
Andhra Pradesh,1,7,7.108709,f,28091745,28091745,0.747849,1,t,Anantapur; Chittoor; Guntur; Kadapa(YSR); Kurnool; Prakasam; Sri Potti Sriramulu Nellore,b5d34fc8-db0a-42fb-9816-b9a6b7abf507,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Andhra Pradesh,2,6,5.891291,f,23280831,23280831,0.669686,2,t,East Godavari; Krishna; Srikakulam; Visakhapatnam; Vizianagaram; West Godavari; Yanam,1749430e-0895-4c55-bdf8-7d4598b16497,c5c5061d-a654-4e0c-aed6-10fd0a35dad5
Anhui Province,1,8,7.851123,f,31600273,31600273,0.773674,1,t,Anqingshi; Chaohushi; Chaohushi; Chuzhoushi; Dangtuxian; Dongzhixian; Fanchangxian; Feidongxian; Feixixian; Gaochunxian; Guangdexian; Guichishi; Hanshanxian; Hefeishi; Hexian; Huainingxian; Huangshanshi; Huangshanshi; Huoshanxian; Jiangpuxian; Jingdexian; Jingxian; Jinzaixian; Jixixian; Laianxian; Langxixian; Liuanshi; Lujiangxian; Maanshanshi; Nanlingxian; Ningguoshi; Qianshanxian; Qimenxian; Qingyangxian; Quanjiaoxian; Shexian; Shitaixian; Shuchengxian; Susongxian; Taihuxian; Tianchangshi; Tongchengxian; Tonglingshi; Tonglingxian; Wangjiangxian; Wuhushi; Wuhuxian; Wuweixian; Xiuningxian; Xuanzhoushi; Yixian; Yuexixian; Zongyangxian,257d9d30-ab67-4811-92f2-007551b3bd6e,9f1fe628-cae6-4bdd-aec0-e138a7c71b39
Anhui Province,2,7,7.148877,f,28773781,28773781,0.816737,1,t,Bangbushi; Bozhoushi; Changfengxian; Dafengshi; Dingyuanxian; Fengtaixian; Fengyangxian; Funanxian; Fuyangshi; Fuyangshi; Guzhenxian; Huaibeishi; Huainanshi; Huaiyuanxian; Huoqiuxian; Jiashanxian; Jieshoushi; Lingbixian; Lixingxian; Mengchengxian; Shouxian; Shuzhoushi; Suixixian; Suzhoushi; Taihexian; Woyangxian; Wuhexian; Xiaoxian; Yingshangxian,ec20fd79-41bc-44b2-83cc-06cb6e04728f,9f1fe628-cae6-4bdd-aec0-e138a7c71b39
Argentina,1,5,5.078434,f,21209758,21209758,0.529142,3,t,Buenos Aires; Chubut; Ciudad Autónoma de Buenos Aires; La Pampa; Neuquén; Río Negro; Santa Cruz; Tierra del Fuego,f8cf76b4-d24e-4081-b8db-450e81004ca3,2aa6ea56-4ac8-42c7-8ce8-bf0b10247be3
Argentina,2,5,4.921566,t,20554610,20554610,0.819063,1,t,Catamarca; Chaco; Corrientes; Córdoba; Formosa; Jujuy; La Roja; Mendoza; Misiones; Salta; San Juan; San Luis; Santa Fe; Santiago del Estero; Tucumán,ca840c94-7ab2-4857-9e0f-572dd4e1c65d,2aa6ea56-4ac8-42c7-8ce8-bf0b10247be3
Bangladesh,1,8,7.996307,f,32441261,32441261,0.573110,9,t,Chittagong,35ebecd2-d21f-4cb8-a334-40dec1263674,012617d0-cb99-4ad5-9623-d1279d3b7170
Bangladesh,2,7,7.291345,f,29581209,29581209,0.492731,3,f,Rangpur; Sylhet,f44f0bda-6487-442f-a1bc-d7a281d1f453,012617d0-cb99-4ad5-9623-d1279d3b7170
Bangladesh,3,7,6.501306,f,26375997,26375997,0.754155,9,t,Barisal; Khulna,65fbfe8c-b710-429c-9d44-3d1b71f46a0e,012617d0-cb99-4ad5-9623-d1279d3b7170
Bangladesh,4,8,8.211042,f,33312447,33312447,0.744339,1,t,Mymensingh; Rajshani,9636ac9f-e74c-4d69-aa2f-ab5601d1ae18,012617d0-cb99-4ad5-9623-d1279d3b7170
Bihār,1,8,7.927272,f,32230329,32230329,0.641879,1,t,Begusarai; Darbhanga; Jamui; Munger; Muzaffarpur; Nawada; Samastipur; Sheikhpura; Vaishali,ea631a48-7e86-406c-9efe-f31c9bd13682,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,2,8,7.991773,f,32492575,32492575,0.793171,1,t,Arwal; Aurangabad; Bhojpur; Buxar; Gaya; Jehanabad; Kaimur (Bhabua); Lakhisarai; Nalanda; Patna; Rohtas,3676d2da-03e0-4a4e-b676-74cc34ab5fc8,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,3,8,8.087320,f,32881045,32881045,0.597310,1,t,Gopalganj; Madhubani; Pashchim Champaran; Purba Champaran; Saran; Sheohar; Sitamarhi; Siwan,389826be-45c1-48c2-b5d2-f35c6d5eab56,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Bihār,4,8,7.993634,f,32500141,32500141,0.732632,1,t,Araria; Banka; Bhagalpur; Katihar; Khagaria; Kishanganj; Madhepura; Purnia; Saharsa; Supaul,34304f6d-b0b4-4305-b1a7-a64fb306ed25,3e6d7a4d-0fd1-4169-8c47-bf4965a336e2
Brazil,1,8,8.362563,f,33706225,33706225,0.741018,1,t,Acre; Amapa; Amazonas; Distrito Federal; Goias; Mato Grosso; Mato Grosso do Sul; Para; Rondonia; Roraima,310105c3-b932-4589-b824-f148ed089718,8865c0ea-20a4-4836-bd0b-aef668dcf660
Brazil,2,8,7.788997,f,31394405,31394405,0.818062,6,t,Bombinhas; Parana; Rio Grande do Sul; Santa Catarina,3c5ec9ac-8caf-40c4-87e0-007c80391d56,8865c0ea-20a4-4836-bd0b-aef668dcf660
